"gender","MaritalStatus","Familysize","ProductCategory","Sales","Quantity","Age","year","month","pred"
"F","Yes",4,"Office Supplies",142.86,1,81,2014,12,5
"F","Yes",4,"Furniture",292.272,6,81,2014,12,6
"F","Yes",4,"Office Supplies",200.984,7,82,2015,9,5
"F","Yes",4,"Office Supplies",11.56,2,84,2017,10,5
"F","Yes",4,"Office Supplies",26.4,5,84,2017,10,5
"F","Yes",4,"Furniture",69.08,11,84,2017,10,6
"F","Yes",4,"Technology",35.88,3,84,2017,10,4
"F","Yes",4,"Office Supplies",12.39,3,84,2017,11,5
"F","Yes",4,"Furniture",183.372,2,59,2014,10,6
"F","Yes",4,"Office Supplies",7.968,2,59,2014,10,5
"F","Yes",4,"Technology",84.784,2,60,2016,3,4
"F","Yes",4,"Technology",201.584,2,61,2016,6,4
"F","Yes",4,"Office Supplies",35.88,6,61,2016,9,5
"F","Yes",4,"Office Supplies",143.728,2,61,2017,3,5
"F","Yes",4,"Technology",46.864,2,50,2014,5,4
"F","Yes",4,"Office Supplies",21.4,5,50,2014,6,5
"F","Yes",4,"Technology",177.48,3,51,2015,11,4
"F","Yes",4,"Furniture",354.9,5,52,2016,4,6
"F","Yes",4,"Furniture",215.65,5,52,2016,7,6
"F","Yes",4,"Office Supplies",79.92,4,53,2017,1,5
"F","Yes",4,"Office Supplies",12.28,1,53,2017,1,5
"F","Yes",4,"Office Supplies",542.94,3,53,2017,1,5
"F","Yes",4,"Office Supplies",2.04,1,53,2017,1,5
"F","No",1,"Furniture",183.372,2,66,2014,10,6
"F","No",1,"Office Supplies",7.968,2,66,2014,10,5
"F","No",1,"Technology",84.784,2,68,2016,3,4
"F","No",1,"Technology",201.584,2,68,2016,6,4
"F","No",1,"Office Supplies",35.88,6,68,2016,9,5
"F","No",1,"Office Supplies",143.728,2,69,2017,3,5
"M","No",1,"Furniture",1441.3,7,30,2014,6,1
"M","No",1,"Office Supplies",74.52,9,31,2015,2,2
"M","No",1,"Office Supplies",8.568,3,31,2015,3,2
"M","No",1,"Office Supplies",55.6,5,31,2015,9,2
"M","No",1,"Technology",617.976,3,31,2015,9,3
"M","No",1,"Office Supplies",32.064,6,33,2016,10,2
"M","No",1,"Office Supplies",14.03,1,33,2016,12,2
"M","No",1,"Office Supplies",27.96,2,33,2016,12,2
"M","No",1,"Technology",89.544,7,33,2017,6,3
"M","No",1,"Office Supplies",35.168,2,33,2017,6,2
"M","No",1,"Office Supplies",72.588,2,33,2017,6,2
"M","No",1,"Office Supplies",11.184,1,33,2017,6,2
"M","No",1,"Office Supplies",153.584,2,33,2017,6,2
"M","No",1,"Office Supplies",8.64,2,34,2017,11,2
"M","No",1,"Office Supplies",35.712,8,34,2017,11,2
"F","Yes",4,"Office Supplies",646.2,5,65,2014,11,5
"F","Yes",4,"Furniture",277.5,4,65,2015,8,6
"F","Yes",4,"Office Supplies",152.94,3,66,2015,12,5
"F","Yes",4,"Furniture",283.92,4,66,2015,12,6
"F","Yes",4,"Office Supplies",23.16,2,67,2017,5,5
"F","Yes",4,"Furniture",72.704,4,68,2017,12,6
"F","Yes",4,"Office Supplies",12.264,7,68,2017,12,5
"F","Yes",4,"Office Supplies",218.352,3,68,2017,12,5
"M","Yes",3,"Office Supplies",34.2,5,35,2014,5,2
"M","Yes",3,"Office Supplies",31.68,4,36,2015,8,2
"M","Yes",3,"Office Supplies",10.368,2,36,2015,8,2
"M","Yes",3,"Office Supplies",12.032,8,36,2015,8,2
"M","Yes",3,"Office Supplies",5.768,2,36,2015,8,2
"M","Yes",3,"Furniture",153.568,2,36,2016,1,1
"M","Yes",3,"Furniture",1013.488,7,36,2016,1,1
"M","Yes",3,"Office Supplies",54.9,5,37,2017,4,2
"M","Yes",3,"Office Supplies",19.56,5,38,2017,6,2
"M","Yes",3,"Office Supplies",7.56,3,38,2017,7,2
"M","Yes",3,"Office Supplies",24.56,2,38,2017,7,2
"M","Yes",3,"Office Supplies",12.96,2,38,2017,7,2
"M","Yes",3,"Office Supplies",1.08,2,38,2017,7,2
"M","Yes",3,"Office Supplies",10.44,5,38,2017,11,2
"M","Yes",3,"Office Supplies",18.336,4,38,2017,11,2
"M","Yes",3,"Furniture",24.048,9,38,2017,11,1
"M","Yes",4,"Office Supplies",16.272,1,24,2014,3,2
"M","Yes",4,"Office Supplies",18.06,7,24,2014,6,2
"M","Yes",4,"Office Supplies",79.14,3,24,2014,6,2
"M","Yes",4,"Furniture",37.4,2,24,2014,6,1
"M","Yes",4,"Furniture",87.54,3,24,2014,9,1
"M","Yes",4,"Technology",99.98,2,24,2014,11,3
"M","Yes",4,"Office Supplies",733.95,7,24,2014,11,2
"M","Yes",4,"Office Supplies",241.44,3,24,2014,11,2
"M","Yes",4,"Office Supplies",8.448,2,24,2014,12,2
"M","Yes",4,"Office Supplies",20.388,2,24,2014,12,2
"M","Yes",4,"Technology",1039.728,2,26,2016,8,3
"M","Yes",4,"Office Supplies",45.96,2,26,2016,8,2
"M","Yes",4,"Technology",239.976,3,27,2017,6,3
"M","Yes",4,"Furniture",31.168,4,27,2017,6,1
"M","Yes",4,"Furniture",120.96,2,27,2017,6,1
"M","Yes",4,"Technology",2239.936,8,27,2017,6,3
"M","Yes",4,"Office Supplies",76.608,8,27,2017,6,2
"M","Yes",4,"Office Supplies",142.776,1,27,2017,6,2
"M","Yes",4,"Office Supplies",91.36,5,27,2017,6,2
"M","Yes",4,"Office Supplies",32.76,7,30,2014,6,2
"M","Yes",4,"Furniture",15.384,1,30,2014,10,1
"M","Yes",4,"Office Supplies",19.65,3,31,2015,11,2
"M","Yes",4,"Office Supplies",170.88,3,32,2016,2,2
"M","Yes",4,"Furniture",187.056,9,32,2016,5,1
"M","Yes",4,"Office Supplies",10.9,5,32,2016,9,2
"M","Yes",4,"Office Supplies",29.6,2,32,2016,9,2
"M","Yes",4,"Office Supplies",4.98,1,32,2016,9,2
"M","Yes",4,"Technology",479.976,3,32,2016,9,3
"M","Yes",4,"Technology",44.736,8,32,2016,9,3
"M","Yes",4,"Office Supplies",5.76,2,32,2016,9,2
"M","Yes",4,"Furniture",483.136,4,32,2016,9,1
"M","Yes",4,"Office Supplies",6,2,32,2017,1,2
"M","Yes",4,"Office Supplies",12.294,1,33,2017,9,2
"M","Yes",4,"Office Supplies",79.47,3,65,2014,8,2
"M","Yes",4,"Office Supplies",4.56,2,65,2014,8,2
"M","Yes",4,"Furniture",1133.35,5,65,2014,8,1
"M","Yes",4,"Office Supplies",32.04,4,67,2016,5,2
"M","Yes",4,"Furniture",892.98,2,68,2017,1,1
"M","Yes",4,"Office Supplies",179.94,3,68,2017,7,2
"M","Yes",4,"Furniture",872.94,3,68,2017,7,1
"M","Yes",4,"Office Supplies",12.96,2,68,2017,7,2
"M","Yes",4,"Office Supplies",13.05,5,68,2017,10,2
"M","No",1,"Office Supplies",323.1,2,36,2015,8,2
"M","No",1,"Office Supplies",61.44,3,37,2016,10,2
"M","No",1,"Office Supplies",54.96,3,37,2016,11,2
"F","Yes",3,"Office Supplies",5.484,4,40,2014,12,5
"F","Yes",3,"Technology",249.95,5,42,2016,12,4
"F","Yes",3,"Office Supplies",49.12,4,42,2016,12,5
"F","Yes",3,"Office Supplies",25.68,6,42,2017,3,5
"F","Yes",3,"Office Supplies",56.56,2,43,2017,7,5
"F","Yes",3,"Furniture",36.96,7,43,2017,7,6
"F","Yes",3,"Office Supplies",38.16,9,43,2017,11,5
"M","Yes",4,"Office Supplies",140.736,8,26,2014,5,2
"M","Yes",4,"Furniture",111.15,5,27,2014,11,1
"M","Yes",4,"Office Supplies",70.12,4,28,2015,10,2
"M","Yes",4,"Office Supplies",68.81,5,28,2015,11,2
"M","Yes",4,"Office Supplies",2.544,3,28,2015,11,2
"M","Yes",4,"Office Supplies",184.66,7,28,2015,12,2
"M","Yes",4,"Technology",95.984,2,29,2017,1,3
"M","Yes",4,"Office Supplies",4.938,2,29,2017,1,2
"M","Yes",4,"Office Supplies",68.472,3,30,2017,11,2
"M","Yes",4,"Furniture",1242.9,5,30,2017,11,1
"M","Yes",4,"Office Supplies",114.2,5,44,2014,12,2
"M","Yes",4,"Office Supplies",52.59,3,45,2015,7,2
"M","Yes",4,"Office Supplies",714.3,5,45,2015,11,2
"M","Yes",4,"Office Supplies",45.584,7,45,2016,7,2
"M","Yes",4,"Technology",519.68,7,46,2016,9,3
"M","Yes",4,"Office Supplies",68.52,3,46,2016,9,2
"M","Yes",4,"Technology",499.95,5,46,2016,9,3
"M","Yes",4,"Office Supplies",3.04,1,46,2016,9,2
"M","Yes",4,"Furniture",201.96,2,46,2016,9,1
"M","Yes",4,"Furniture",68.64,11,46,2016,9,1
"M","Yes",4,"Office Supplies",73.536,4,46,2016,12,2
"M","Yes",4,"Office Supplies",177.2,5,47,2017,8,2
"M","Yes",4,"Office Supplies",15.224,2,47,2017,10,2
"M","Yes",4,"Office Supplies",21.984,6,47,2017,10,2
"M","Yes",4,"Office Supplies",34.76,1,74,2015,7,2
"M","Yes",4,"Technology",831.2,5,74,2015,7,3
"M","Yes",4,"Office Supplies",26.4,5,74,2015,7,2
"M","Yes",4,"Office Supplies",106.75,7,74,2015,7,2
"M","Yes",4,"Office Supplies",97.82,2,74,2015,7,2
"M","Yes",4,"Office Supplies",141.4,5,74,2015,7,2
"M","Yes",4,"Furniture",209.67,1,75,2015,10,1
"M","Yes",4,"Office Supplies",12.192,3,77,2017,9,2
"F","Yes",3,"Office Supplies",36.4,5,32,2016,7,5
"F","Yes",3,"Furniture",51.75,1,32,2016,7,6
"F","Yes",4,"Office Supplies",24.56,2,53,2014,12,5
"F","Yes",4,"Technology",119.8,4,53,2014,12,4
"F","Yes",4,"Technology",447.944,7,54,2015,3,4
"F","Yes",4,"Office Supplies",150.408,9,54,2015,3,5
"F","Yes",4,"Office Supplies",41.86,7,55,2016,11,5
"F","Yes",4,"Furniture",307.666,2,56,2017,10,6
"F","Yes",4,"Furniture",82.38,6,56,2017,12,6
"F","Yes",4,"Technology",46.864,2,63,2014,5,4
"F","Yes",4,"Office Supplies",21.4,5,63,2014,6,5
"F","Yes",4,"Technology",177.48,3,65,2015,11,4
"F","Yes",4,"Furniture",354.9,5,65,2016,4,6
"F","Yes",4,"Furniture",215.65,5,65,2016,7,6
"F","Yes",4,"Office Supplies",79.92,4,66,2017,1,5
"F","Yes",4,"Office Supplies",12.28,1,66,2017,1,5
"F","Yes",4,"Office Supplies",542.94,3,66,2017,1,5
"F","Yes",4,"Office Supplies",2.04,1,66,2017,1,5
"F","Yes",4,"Office Supplies",5,1,76,2015,11,5
"F","Yes",4,"Technology",371.97,3,76,2015,11,4
"F","Yes",4,"Office Supplies",1.408,1,77,2016,10,5
"F","Yes",4,"Furniture",169.568,2,77,2016,10,6
"F","Yes",4,"Office Supplies",19.83,1,77,2017,3,5
"F","Yes",4,"Furniture",25.83,3,78,2017,11,6
"M","Yes",3,"Technology",18.392,1,21,2015,3,3
"M","Yes",3,"Office Supplies",129.568,2,21,2015,3,2
"M","Yes",3,"Office Supplies",14.112,9,21,2015,3,2
"M","Yes",3,"Office Supplies",67.64,5,22,2016,3,2
"M","Yes",3,"Technology",119.976,3,22,2016,3,3
"M","Yes",3,"Office Supplies",2.694,2,22,2016,5,2
"M","Yes",3,"Furniture",122.352,3,22,2016,6,1
"M","Yes",3,"Furniture",58.248,9,22,2016,9,1
"M","Yes",3,"Furniture",71.246,2,22,2016,9,1
"M","Yes",3,"Office Supplies",7.872,3,22,2016,9,2
"M","Yes",3,"Furniture",887.271,3,22,2016,9,1
"M","Yes",3,"Office Supplies",5.344,1,22,2016,9,2
"M","Yes",3,"Technology",36.192,1,23,2016,11,3
"M","Yes",3,"Office Supplies",85.52,2,23,2017,10,2
"M","Yes",3,"Technology",104.88,6,24,2017,12,3
"M","Yes",3,"Office Supplies",34.7,5,24,2017,12,2
"M","Yes",3,"Office Supplies",33.72,4,24,2017,12,2
"M","Yes",3,"Office Supplies",14.94,3,24,2017,12,2
"M","Yes",3,"Technology",281.97,3,24,2017,12,3
"M","Yes",3,"Office Supplies",69.5,5,24,2017,12,2
"M","Yes",3,"Office Supplies",166.44,3,24,2017,12,2
"M","Yes",4,"Office Supplies",3.576,4,33,2015,9,2
"M","Yes",4,"Office Supplies",147.184,2,33,2015,9,2
"M","Yes",4,"Office Supplies",8.4,5,35,2017,2,2
"M","Yes",4,"Technology",71.96,5,35,2017,2,3
"M","Yes",4,"Office Supplies",12.768,2,35,2017,3,2
"M","Yes",4,"Office Supplies",23.1,2,35,2017,9,2
"M","Yes",4,"Furniture",11.54,2,35,2017,9,1
"M","Yes",4,"Furniture",254.526,1,35,2017,9,1
"M","Yes",4,"Office Supplies",12.98,1,35,2017,9,2
"M","Yes",4,"Office Supplies",26.432,8,35,2017,9,2
"M","Yes",4,"Technology",197.97,3,35,2017,9,3
"M","Yes",4,"Office Supplies",18.9,6,35,2017,9,2
"M","Yes",4,"Furniture",1282.41,5,35,2017,9,1
