"","gender","MaritalStatus","Familysize","ProductCategory","Sales","Quantity","prodbin","Age","Billyear","Billmonth"
"66","M","Yes",4,"Technology",79.99,1,9,33,2017,11
"67","M","Yes",4,"Office Supplies",11.36,2,5,30,2014,11
"68","M","Yes",4,"Office Supplies",71.88,6,5,33,2017,9
"69","M","Yes",4,"Office Supplies",17.04,3,5,33,2017,9
"70","M","Yes",4,"Furniture",1215.92,8,3,30,2014,4
"71","M","Yes",4,"Office Supplies",319.9,5,4,30,2014,11
"72","M","Yes",4,"Technology",206.1,5,10,33,2017,11
"73","F","Yes",2,"Office Supplies",181.86,7,4,19,2017,11
"74","F","Yes",2,"Office Supplies",23.48,5,7,18,2016,12
"75","F","Yes",2,"Office Supplies",16.52,4,6,17,2015,3
"76","F","Yes",2,"Office Supplies",671.94,3,5,17,2015,3
"77","F","Yes",2,"Office Supplies",47.616,3,3,18,2016,12
"78","F","Yes",2,"Office Supplies",11.56,2,7,19,2017,11
"79","F","Yes",2,"Office Supplies",12.588,3,5,18,2016,11
"80","F","Yes",2,"Office Supplies",5.344,2,4,18,2016,10
"81","F","Yes",2,"Office Supplies",6.63,3,4,19,2017,12
"82","F","Yes",2,"Technology",359.97,5,10,19,2017,11
"83","F","Yes",2,"Office Supplies",38.88,6,7,19,2017,12
"84","F","Yes",2,"Technology",171.96,5,9,18,2016,11
"85","F","Yes",2,"Office Supplies",62.65,5,6,19,2017,11
"86","F","Yes",2,"Office Supplies",27.72,3,4,18,2016,10
"87","F","Yes",2,"Office Supplies",12.96,2,6,19,2017,12
"88","F","Yes",2,"Furniture",863.128,8,3,18,2016,11
"89","F","Yes",2,"Furniture",201.04,8,2,19,2017,12
"90","F","Yes",2,"Office Supplies",3.564,3,5,18,2016,11
"91","F","Yes",2,"Furniture",956.6648,7,1,18,2016,11
"92","F","Yes",2,"Furniture",307.92,5,2,18,2016,10
"93","F","Yes",2,"Technology",559.992,1,9,16,2014,7
"94","F","Yes",2,"Furniture",350.352,4,3,19,2017,11
"95","F","Yes",2,"Technology",107.976,3,10,17,2015,6
"96","F","Yes",2,"Office Supplies",8.64,3,6,19,2017,12
"97","F","Yes",2,"Office Supplies",42.616,7,5,19,2017,9
"98","F","Yes",2,"Technology",59.98,2,10,18,2016,11
"99","F","Yes",2,"Technology",99.98,2,9,19,2017,3
"100","F","Yes",2,"Office Supplies",32.4,5,6,19,2017,12
"101","F","Yes",2,"Furniture",180.98,1,1,19,2017,3
"102","F","Yes",2,"Office Supplies",38.19,5,4,18,2016,10
"103","F","Yes",2,"Office Supplies",12.96,2,7,19,2017,12
"104","M","Yes",3,"Office Supplies",540.048,3,8,25,2016,12
"105","M","Yes",3,"Office Supplies",15.552,3,6,26,2017,11
"106","M","Yes",3,"Office Supplies",99.9,5,6,25,2016,6
"107","M","Yes",3,"Office Supplies",25.344,6,7,26,2017,11
"108","M","Yes",3,"Office Supplies",189.588,2,5,25,2016,4
"109","M","Yes",3,"Technology",63.824,2,9,26,2017,10
"110","M","Yes",3,"Technology",291.96,5,9,25,2016,4
"111","M","Yes",3,"Office Supplies",22.05,7,6,25,2016,6
"112","M","Yes",3,"Office Supplies",27.882,3,5,25,2016,12
"113","M","Yes",3,"Technology",255.68,8,9,25,2016,12
"114","M","Yes",3,"Furniture",2065.32,12,3,26,2017,11
"115","M","Yes",3,"Furniture",516.488,7,2,26,2017,11
"116","M","Yes",3,"Office Supplies",4.768,2,8,25,2016,4
"117","M","Yes",3,"Office Supplies",15.28,2,6,23,2014,6
"118","M","Yes",3,"Technology",408.744,7,9,25,2016,4
"119","M","Yes",3,"Furniture",1007.232,6,2,26,2017,11
"120","M","Yes",3,"Office Supplies",58.48,8,6,26,2017,5
"121","M","Yes",3,"Office Supplies",25.176,4,5,24,2015,7
"122","M","Yes",4,"Technology",2395.2,6,9,44,2017,7
"123","M","Yes",4,"Office Supplies",110.528,4,5,42,2015,12
"124","M","Yes",4,"Office Supplies",3.28,1,4,42,2015,12
"125","M","Yes",4,"Office Supplies",5.67,3,6,41,2014,9
"126","M","Yes",4,"Technology",1687.8,4,9,44,2017,7
"127","M","Yes",4,"Technology",59.98,2,9,44,2017,7
"128","M","Yes",4,"Office Supplies",414.96,2,3,42,2015,12
"129","M","Yes",4,"Office Supplies",28.8,9,7,41,2014,9
"130","M","Yes",4,"Office Supplies",17.52,3,4,42,2015,3
"131","M","Yes",4,"Technology",7.992,1,10,44,2017,7
"132","M","Yes",4,"Office Supplies",7.968,2,7,42,2015,4
"133","M","Yes",4,"Office Supplies",20.736,4,7,42,2015,12
"134","M","Yes",3,"Office Supplies",45.48,3,4,29,2014,6
"135","M","Yes",3,"Furniture",121.78,2,1,31,2016,9
"136","M","Yes",3,"Office Supplies",19.44,3,7,29,2014,8
"137","M","Yes",3,"Office Supplies",289.2,6,4,29,2014,6
"138","F","Yes",2,"Furniture",141.372,2,2,17,2017,9
"139","F","Yes",2,"Office Supplies",4.672,1,4,17,2017,9
"140","F","Yes",2,"Technology",95.88,3,9,17,2017,9
"141","F","Yes",2,"Office Supplies",16.78,2,3,14,2014,9
"142","F","Yes",2,"Technology",258.696,3,9,17,2017,9
"143","F","Yes",2,"Furniture",1421.664,6,3,16,2016,12
"144","F","Yes",2,"Furniture",154.95,3,3,17,2017,11
"145","F","Yes",2,"Office Supplies",8.56,2,4,16,2016,12
"146","F","Yes",2,"Furniture",170.136,3,3,15,2015,9
"147","F","Yes",2,"Technology",1931.958,7,10,17,2017,9
"148","F","Yes",2,"Office Supplies",4.503,1,4,17,2017,9
"149","F","Yes",2,"Office Supplies",45.36,7,7,16,2016,12
"150","F","Yes",2,"Office Supplies",1.938,2,5,15,2015,1
"151","F","Yes",2,"Furniture",17.024,2,2,17,2017,9
"152","F","Yes",2,"Technology",43.6,4,10,17,2017,11
"153","F","Yes",2,"Office Supplies",29.6,5,7,15,2015,1
"154","F","Yes",2,"Technology",328.776,3,10,14,2014,12
"155","F","Yes",2,"Office Supplies",478.08,8,8,17,2017,9
"156","F","Yes",2,"Technology",217.584,2,10,14,2014,12
"157","F","Yes",2,"Office Supplies",3.036,2,5,17,2017,9
"158","F","Yes",2,"Office Supplies",12.984,3,6,14,2014,12
"159","F","Yes",2,"Office Supplies",2.896,1,6,17,2017,8
"160","F","Yes",2,"Technology",47.984,2,9,14,2014,12
"161","F","Yes",2,"Office Supplies",2.286,3,5,14,2014,12
"162","F","Yes",3,"Technology",439.992,1,9,21,2015,10
"163","F","Yes",3,"Technology",506.28,3,9,23,2017,9
"164","F","Yes",3,"Technology",859.2,3,10,23,2017,9
"165","F","Yes",3,"Technology",87.96,5,10,21,2015,10
"166","F","Yes",3,"Furniture",106.68,6,2,21,2015,9
"167","F","Yes",3,"Technology",244.768,4,10,22,2016,11
"168","F","Yes",3,"Office Supplies",9.392,2,7,21,2015,7
"169","F","Yes",3,"Furniture",40.784,2,2,21,2015,2
"170","F","Yes",3,"Furniture",15.488,4,2,21,2015,10
"171","F","Yes",3,"Furniture",159.84,10,2,21,2015,7
"172","F","Yes",3,"Office Supplies",39.72,5,8,22,2016,11
"173","F","Yes",3,"Technology",59.994,2,9,21,2015,10
"174","F","Yes",3,"Office Supplies",2.892,2,5,21,2015,7
"175","F","Yes",3,"Office Supplies",40.096,4,6,21,2015,2
"176","F","Yes",3,"Office Supplies",7.16,2,6,20,2014,9
"177","F","Yes",3,"Furniture",289.568,2,1,22,2016,11
"178","F","Yes",3,"Technology",74.24,1,10,21,2015,7
"179","F","Yes",3,"Office Supplies",11.01,3,5,20,2017,7
"180","F","Yes",3,"Office Supplies",849.95,5,5,20,2017,7
"181","F","Yes",3,"Office Supplies",66.96,4,8,20,2017,5
"182","F","Yes",3,"Furniture",286.85,1,3,20,2017,5
"183","F","Yes",3,"Office Supplies",47.9,1,7,19,2016,12
"184","F","Yes",3,"Office Supplies",1112.94,3,8,19,2016,12
"185","F","Yes",3,"Office Supplies",12.78,1,5,19,2016,9
"186","F","Yes",3,"Office Supplies",11.976,4,5,19,2016,10
"187","F","Yes",3,"Furniture",22.336,4,2,17,2014,4
"188","F","Yes",3,"Office Supplies",104.28,3,8,20,2017,5
"189","F","Yes",3,"Office Supplies",147.92,5,5,20,2017,5
"190","F","Yes",3,"Office Supplies",17.904,4,5,19,2016,10
"191","F","Yes",3,"Office Supplies",22.92,3,5,19,2016,12
"192","F","Yes",3,"Technology",199.98,2,9,20,2017,5
"193","F","Yes",3,"Furniture",31.96,2,2,19,2016,12
"194","F","Yes",3,"Office Supplies",9.888,2,5,19,2016,11
"195","F","Yes",3,"Office Supplies",11.54,1,7,20,2017,7
"196","F","Yes",3,"Furniture",281.372,2,2,17,2014,4
"197","F","Yes",3,"Office Supplies",3.136,2,4,19,2016,11
"198","F","Yes",3,"Office Supplies",7.488,8,4,17,2014,4
"199","F","Yes",3,"Technology",703.71,6,9,19,2016,10
"200","F","Yes",3,"Technology",67.96,5,9,19,2016,10
"201","F","Yes",3,"Furniture",281.372,2,2,17,2014,4
"202","F","Yes",3,"Office Supplies",671.544,3,3,19,2016,11
"203","M","Yes",4,"Office Supplies",25.9,5,5,30,2017,12
"204","M","Yes",4,"Furniture",258.072,3,2,30,2017,4
"205","M","Yes",4,"Office Supplies",29.12,5,5,29,2016,11
"206","M","Yes",4,"Office Supplies",5.328,2,5,30,2017,4
"207","M","Yes",4,"Office Supplies",2.48,1,4,30,2017,12
"208","M","Yes",4,"Office Supplies",2.78,1,4,30,2017,9
"209","M","Yes",4,"Furniture",620.6145,3,3,30,2017,4
"210","M","Yes",4,"Office Supplies",230.376,3,8,30,2017,11
"211","M","Yes",4,"Furniture",300.904,1,3,30,2017,9
"212","M","Yes",4,"Technology",743.988,2,10,29,2016,5
"213","M","Yes",4,"Technology",617.976,3,9,30,2017,4
"214","M","Yes",4,"Furniture",233.86,2,3,30,2017,4
"215","M","Yes",4,"Office Supplies",310.12,2,8,27,2014,9
"216","M","Yes",4,"Office Supplies",270.34,14,8,28,2015,10
"217","M","Yes",3,"Furniture",60.288,8,3,23,2016,7
"218","M","Yes",3,"Technology",319.984,2,9,24,2017,9
"219","M","Yes",3,"Furniture",253.372,2,1,23,2016,7
"220","M","Yes",3,"Furniture",21.184,2,2,24,2017,9
"221","M","Yes",3,"Office Supplies",20.808,3,3,24,2017,4
"222","M","Yes",3,"Technology",52.792,1,10,24,2017,10
"223","M","Yes",3,"Technology",1035.8,4,9,22,2015,10
"224","M","Yes",3,"Office Supplies",2.632,1,6,23,2016,7
"225","M","Yes",3,"Furniture",213.43,5,2,24,2017,9
"226","M","Yes",3,"Technology",333.576,3,10,23,2016,8
"227","M","Yes",3,"Office Supplies",23.688,9,7,23,2016,7
"228","M","Yes",3,"Office Supplies",22.72,4,7,24,2017,9
"229","M","Yes",3,"Furniture",218.352,3,2,24,2017,4
"230","M","Yes",3,"Technology",23.976,3,10,24,2017,4
"231","M","Yes",3,"Office Supplies",42.616,7,5,24,2017,9
"232","M","Yes",3,"Office Supplies",20.736,4,6,24,2017,9
"233","M","Yes",3,"Office Supplies",45.92,5,6,24,2017,9
"234","M","Yes",3,"Office Supplies",12.544,2,4,23,2016,8
"235","M","Yes",3,"Office Supplies",21.36,5,4,21,2014,2
"236","M","Yes",3,"Office Supplies",6.264,3,6,24,2017,4
"237","M","Yes",3,"Furniture",136.464,2,3,23,2016,8
"238","M","Yes",4,"Technology",90.57,3,9,39,2017,7
"239","M","Yes",4,"Office Supplies",137.352,3,8,36,2014,3
"240","M","Yes",4,"Furniture",376.509,3,3,36,2014,3
"241","M","Yes",4,"Office Supplies",5.8,1,5,38,2016,2
"242","M","Yes",4,"Office Supplies",111.672,9,8,38,2016,10
"243","M","Yes",4,"Furniture",318.08,4,2,38,2016,2
"244","M","Yes",4,"Office Supplies",631.176,4,5,39,2017,12
"245","M","Yes",4,"Technology",238,2,9,36,2014,7
"246","M","Yes",4,"Technology",279.86,14,9,37,2015,9
"247","F","Yes",4,"Office Supplies",179.9,5,4,27,2017,12
"248","F","Yes",4,"Office Supplies",10.56,2,6,25,2015,6
"249","F","Yes",4,"Furniture",47.992,2,2,26,2016,11
"250","F","Yes",4,"Technology",95.968,4,9,26,2016,11
"251","F","Yes",4,"Office Supplies",26.49,1,3,26,2016,12
"252","F","Yes",4,"Furniture",1779.9,5,1,27,2017,8
"253","F","Yes",4,"Office Supplies",17.52,3,4,27,2017,8
"254","F","Yes",4,"Furniture",1159.056,9,2,27,2017,12
"255","F","Yes",4,"Office Supplies",219.9,5,4,27,2017,8
"256","F","Yes",4,"Office Supplies",31.872,8,7,27,2017,9
"257","F","Yes",4,"Office Supplies",1.696,2,4,25,2015,11
"258","F","Yes",4,"Office Supplies",1158.12,5,3,27,2017,11
"259","F","Yes",4,"Technology",39.992,1,10,27,2017,12
"260","F","Yes",4,"Furniture",212.94,3,2,26,2016,12
"261","F","Yes",4,"Office Supplies",5.344,2,4,25,2015,11
"262","F","Yes",4,"Office Supplies",24.588,3,3,25,2015,11
"263","F","Yes",4,"Technology",160,8,9,26,2016,11
"264","F","Yes",4,"Office Supplies",17.3,1,5,26,2016,11
"265","F","Yes",4,"Office Supplies",7.98,5,5,25,2015,11
"266","F","Yes",4,"Furniture",1568.61,9,3,26,2016,11
"267","M","Yes",3,"Office Supplies",299.52,9,5,18,2017,5
"268","M","Yes",3,"Office Supplies",14.62,2,6,16,2015,1
"269","M","Yes",3,"Office Supplies",7.712,2,5,17,2016,11
"270","M","Yes",3,"Office Supplies",70.368,2,4,15,2014,6
"271","M","Yes",3,"Office Supplies",38.88,6,6,17,2016,11
"272","M","Yes",3,"Office Supplies",29.04,3,7,16,2015,1
"273","M","Yes",3,"Office Supplies",7.56,6,6,16,2015,5
"274","M","Yes",3,"Office Supplies",592.74,6,8,18,2017,12
"275","M","Yes",3,"Technology",7.992,1,10,15,2014,6
"276","M","Yes",3,"Office Supplies",4.176,1,4,17,2016,11
"277","M","Yes",3,"Technology",63.984,2,8,15,2014,6
"278","M","Yes",4,"Office Supplies",11.12,4,5,51,2014,9
"279","M","Yes",4,"Office Supplies",20.136,3,3,54,2017,11
"280","M","Yes",4,"Office Supplies",8.856,3,5,54,2017,11
"281","M","Yes",4,"Office Supplies",12.96,2,6,53,2016,7
"282","M","Yes",4,"Furniture",3.312,1,2,54,2017,11
"283","M","Yes",4,"Technology",859.2,4,10,54,2017,11
"284","M","Yes",4,"Furniture",127.88,5,3,53,2016,4
"285","M","Yes",4,"Office Supplies",1554.936,3,8,53,2016,4
"286","M","Yes",4,"Furniture",344.372,4,2,53,2016,4
"287","F","Yes",4,"Office Supplies",10.08,7,5,35,2017,9
"288","F","Yes",4,"Office Supplies",286.256,1,3,34,2016,9
"289","F","Yes",4,"Furniture",662.88,3,2,32,2014,12
"290","F","Yes",4,"Office Supplies",25.92,5,7,32,2014,12
"291","F","Yes",4,"Furniture",102.018,7,1,35,2017,12
"292","F","Yes",4,"Office Supplies",24.224,2,8,34,2016,9
"293","F","Yes",4,"Technology",101.34,3,9,35,2017,9
"294","F","Yes",4,"Furniture",13.36,5,2,35,2017,12
"295","F","Yes",4,"Office Supplies",78.256,2,8,35,2017,12
"296","F","Yes",4,"Office Supplies",331.536,3,8,34,2016,9
"297","F","Yes",4,"Office Supplies",21.792,4,5,35,2017,11
"298","F","Yes",4,"Technology",439.8,4,9,35,2017,11
"299","F","Yes",4,"Office Supplies",43.512,7,3,32,2014,12
"300","F","Yes",4,"Furniture",102.3,1,3,35,2017,7
"301","M","Yes",3,"Office Supplies",99.136,4,4,19,2017,11
"302","M","Yes",3,"Office Supplies",49.632,6,5,16,2014,3
"303","M","Yes",3,"Office Supplies",6.672,1,8,19,2017,11
"304","M","Yes",3,"Office Supplies",14.94,3,6,17,2015,9
"305","M","Yes",3,"Furniture",15.992,2,2,19,2017,11
"306","M","Yes",3,"Office Supplies",16.896,4,6,19,2017,11
"307","M","Yes",3,"Technology",479.97,3,9,16,2014,3
"308","M","Yes",3,"Technology",91.96,4,8,19,2017,9
"309","M","Yes",3,"Office Supplies",15.552,3,7,18,2016,1
"310","M","Yes",3,"Office Supplies",59.52,3,3,16,2014,3
"311","M","Yes",3,"Office Supplies",18.62,2,8,16,2014,3
"312","M","Yes",3,"Office Supplies",97.82,2,7,16,2014,3
"313","M","Yes",4,"Furniture",27.42,1,2,56,2017,11
"314","M","Yes",4,"Office Supplies",3.64,1,5,55,2016,11
"315","M","Yes",4,"Technology",881.93,7,10,55,2016,11
"316","M","Yes",4,"Office Supplies",811.28,8,8,56,2017,11
"317","M","Yes",4,"Office Supplies",173.8,5,8,56,2017,11
"318","M","Yes",4,"Office Supplies",22.38,2,7,53,2014,3
"319","M","Yes",4,"Office Supplies",46.2,4,4,56,2017,3
"320","F","Yes",4,"Office Supplies",27.36,4,8,39,2014,9
"321","F","Yes",4,"Technology",107.88,3,10,42,2017,8
"322","F","Yes",4,"Office Supplies",83.92,5,5,39,2014,9
"323","F","Yes",4,"Office Supplies",9.522,1,5,40,2015,9
"324","F","Yes",4,"Office Supplies",20.56,2,6,39,2014,9
"325","F","Yes",4,"Furniture",454.965,5,1,41,2016,9
"326","F","Yes",4,"Office Supplies",93.032,2,3,41,2016,9
"327","F","Yes",4,"Office Supplies",41.4,4,6,42,2017,7
"328","F","Yes",4,"Office Supplies",226.56,6,8,42,2017,8
"329","F","Yes",4,"Office Supplies",17.22,3,8,42,2017,8
"330","F","Yes",4,"Technology",791.964,6,10,40,2015,9
"331","F","Yes",4,"Office Supplies",4.923,3,4,40,2015,9
"332","M","Yes",3,"Technology",119.96,5,10,31,2015,12
"333","M","Yes",3,"Office Supplies",28.84,2,3,31,2015,10
"334","M","Yes",3,"Office Supplies",46.2,4,4,31,2015,10
"335","M","Yes",4,"Office Supplies",32.34,10,5,71,2014,1
"336","M","Yes",4,"Office Supplies",19.44,3,7,72,2015,11
"337","M","Yes",4,"Office Supplies",3.048,1,4,74,2017,5
"338","M","Yes",4,"Office Supplies",454.86,7,8,72,2015,11
"339","M","Yes",4,"Office Supplies",91.392,8,5,72,2015,11
"340","M","Yes",4,"Office Supplies",108.72,5,5,71,2014,1
"341","M","Yes",4,"Furniture",14.56,2,2,74,2017,5
"342","M","Yes",4,"Furniture",181.47,5,1,71,2014,1
"343","M","Yes",4,"Office Supplies",3.168,2,5,72,2015,11
"344","M","Yes",4,"Office Supplies",8.608,2,4,71,2014,9
"345","M","Yes",4,"Office Supplies",56.064,4,6,71,2014,1
"346","M","Yes",4,"Office Supplies",1.112,2,5,72,2015,3
"347","F","Yes",3,"Office Supplies",6.63,3,4,24,2015,5
"348","F","Yes",3,"Office Supplies",101.84,5,4,26,2017,10
"349","F","Yes",3,"Office Supplies",74.352,3,6,26,2017,6
"350","F","Yes",3,"Office Supplies",7.3,2,8,26,2017,9
"351","F","Yes",3,"Office Supplies",18.16,5,5,25,2016,10
"352","F","Yes",3,"Office Supplies",284.08,10,8,25,2016,7
"353","F","Yes",3,"Office Supplies",18.496,4,7,25,2016,7
"354","F","Yes",3,"Office Supplies",31.08,6,6,26,2017,9
"355","F","Yes",3,"Office Supplies",17.856,4,4,26,2017,10
"356","F","Yes",3,"Office Supplies",11.264,8,4,25,2016,7
"357","F","Yes",3,"Technology",0.99,1,9,26,2017,10
"358","M","No",1,"Office Supplies",32.4,5,7,33,2017,6
"359","M","No",1,"Technology",100.792,1,10,30,2014,5
"360","M","No",1,"Technology",58.112,2,9,30,2014,5
"361","M","No",1,"Technology",479.984,2,9,31,2015,9
"362","M","No",1,"Office Supplies",35.88,6,7,33,2017,11
"363","M","No",1,"Furniture",66.112,4,2,30,2014,5
"364","M","No",1,"Office Supplies",204.85,5,4,31,2015,12
"365","M","No",1,"Office Supplies",181.86,7,4,33,2017,6
"366","M","No",1,"Technology",19.99,1,9,33,2017,10
"367","M","No",1,"Furniture",31.56,3,2,32,2016,4
"368","M","No",1,"Office Supplies",7.56,6,6,32,2016,1
"369","M","No",1,"Office Supplies",92.96,2,5,31,2015,12
"370","M","No",1,"Office Supplies",12.6,4,6,31,2015,9
"371","M","No",1,"Technology",135.984,2,10,31,2015,12
"372","M","No",1,"Office Supplies",16.4,5,4,31,2015,12
"373","M","No",1,"Office Supplies",6.16,2,6,33,2017,10
"374","M","No",1,"Technology",503.96,4,10,33,2017,6
"375","M","Yes",2,"Technology",83.97,3,9,22,2017,6
"376","M","Yes",2,"Technology",215.968,2,10,22,2017,2
"377","M","Yes",2,"Office Supplies",17.76,3,7,22,2017,9
"378","M","Yes",2,"Furniture",825.174,9,1,22,2017,9
"379","M","Yes",2,"Technology",265.93,7,8,22,2017,3
"380","M","Yes",2,"Furniture",368.97,3,1,21,2016,10
"381","M","Yes",2,"Office Supplies",25.92,4,7,20,2015,9
"382","M","Yes",2,"Office Supplies",332.94,3,8,21,2016,10
"383","M","Yes",2,"Office Supplies",17.38,2,5,22,2017,6
"384","M","Yes",2,"Technology",39.89,1,9,22,2017,6
"385","M","Yes",2,"Office Supplies",21.96,2,8,21,2016,10
"386","M","Yes",2,"Furniture",22.23,1,3,22,2017,2
"387","M","Yes",2,"Office Supplies",355.32,9,3,21,2016,8
"388","M","Yes",2,"Technology",843.9,2,9,22,2017,8
"389","M","Yes",2,"Furniture",1925.88,6,2,22,2017,6
"390","M","Yes",2,"Office Supplies",12.39,3,4,21,2016,10
"391","M","Yes",2,"Office Supplies",2405.2,8,3,22,2017,6
"392","M","Yes",2,"Office Supplies",16.4,5,3,20,2015,9
"393","M","Yes",2,"Office Supplies",6.912,3,4,22,2017,9
"394","M","Yes",2,"Technology",1496.16,9,9,22,2017,8
"395","F","Yes",3,"Office Supplies",2.025,1,5,42,2015,7
"396","F","Yes",3,"Office Supplies",2.808,3,4,44,2017,1
"397","M","Yes",4,"Furniture",284.364,2,3,49,2015,8
"398","M","Yes",4,"Office Supplies",40.29,3,8,51,2017,8
"399","M","Yes",4,"Technology",26,2,9,49,2015,8
"400","M","Yes",4,"Furniture",700.152,3,2,49,2015,7
"401","M","Yes",4,"Technology",159.98,2,9,50,2016,3
"402","M","Yes",4,"Office Supplies",7.52,5,5,49,2015,6
"403","M","Yes",4,"Furniture",1348.704,6,2,49,2015,7
"404","F","Yes",4,"Technology",479.92,2,10,43,2015,4
"405","F","Yes",4,"Office Supplies",3.008,2,6,43,2015,11
"406","F","Yes",4,"Furniture",71.12,5,2,43,2015,11
"407","F","Yes",4,"Furniture",48.576,3,2,44,2016,11
"408","F","Yes",4,"Technology",258.528,2,10,45,2017,9
"409","F","Yes",4,"Technology",1199.976,4,9,44,2016,11
"410","F","Yes",4,"Office Supplies",332.94,3,8,44,2016,9
"411","F","Yes",4,"Office Supplies",39.872,2,5,44,2016,9
"412","F","Yes",4,"Office Supplies",15.56,2,5,43,2015,11
"413","F","Yes",4,"Furniture",380.058,3,1,44,2016,11
"414","F","Yes",4,"Furniture",241.568,2,3,43,2015,4
"415","M","Yes",3,"Office Supplies",44.82,9,6,23,2014,9
"416","M","Yes",3,"Technology",823.96,5,10,26,2017,10
"417","M","Yes",3,"Technology",2799.96,4,9,23,2014,9
"418","M","Yes",3,"Office Supplies",68.46,7,5,23,2014,9
"419","M","Yes",3,"Office Supplies",23.472,3,5,25,2016,9
"420","M","Yes",3,"Office Supplies",6.72,5,5,25,2016,5
"421","M","Yes",3,"Technology",16.99,1,10,23,2014,9
"422","M","Yes",3,"Office Supplies",646.272,8,3,26,2017,8
"423","M","Yes",3,"Technology",287.97,3,10,23,2014,9
