"","gender","MaritalStatus","Familysize","ProductCategory","Sales","Quantity","prodbin","Age","Billyear","Billmonth","pam_fit2$clustering"
"67","M","Yes",4,"Office Supplies",11.36,2,"(6.8e+03,7e+03]",30,2014,11,2
"68","M","Yes",4,"Office Supplies",71.88,6,"(6.8e+03,7e+03]",33,2017,9,2
"69","M","Yes",4,"Office Supplies",17.04,3,"(6.8e+03,7e+03]",33,2017,9,2
"70","M","Yes",4,"Furniture",1215.92,8,"(6.4e+03,6.6e+03]",30,2014,4,1
"71","M","Yes",4,"Office Supplies",319.9,5,"(6.6e+03,6.8e+03]",30,2014,11,2
"72","M","Yes",4,"Technology",206.1,5,"(7.8e+03,8e+03]",33,2017,11,3
"73","F","Yes",2,"Office Supplies",181.86,7,"(6.6e+03,6.8e+03]",19,2017,11,5
"74","F","Yes",2,"Office Supplies",23.48,5,"(7.2e+03,7.4e+03]",18,2016,12,5
"75","F","Yes",2,"Office Supplies",16.52,4,"(7e+03,7.2e+03]",17,2015,3,5
"76","F","Yes",2,"Office Supplies",671.94,3,"(6.8e+03,7e+03]",17,2015,3,5
"77","F","Yes",2,"Office Supplies",47.616,3,"(6.4e+03,6.6e+03]",18,2016,12,5
"78","F","Yes",2,"Office Supplies",11.56,2,"(7.2e+03,7.4e+03]",19,2017,11,5
"79","F","Yes",2,"Office Supplies",12.588,3,"(6.8e+03,7e+03]",18,2016,11,5
"80","F","Yes",2,"Office Supplies",5.344,2,"(6.6e+03,6.8e+03]",18,2016,10,5
"81","F","Yes",2,"Office Supplies",6.63,3,"(6.6e+03,6.8e+03]",19,2017,12,5
"82","F","Yes",2,"Technology",359.97,5,"(7.8e+03,8e+03]",19,2017,11,4
"83","F","Yes",2,"Office Supplies",38.88,6,"(7.2e+03,7.4e+03]",19,2017,12,5
"84","F","Yes",2,"Technology",171.96,5,"(7.6e+03,7.8e+03]",18,2016,11,4
"85","F","Yes",2,"Office Supplies",62.65,5,"(7e+03,7.2e+03]",19,2017,11,5
"86","F","Yes",2,"Office Supplies",27.72,3,"(6.6e+03,6.8e+03]",18,2016,10,5
"87","F","Yes",2,"Office Supplies",12.96,2,"(7e+03,7.2e+03]",19,2017,12,5
"88","F","Yes",2,"Furniture",863.128,8,"(6.4e+03,6.6e+03]",18,2016,11,6
"89","F","Yes",2,"Furniture",201.04,8,"(6.2e+03,6.4e+03]",19,2017,12,6
"90","F","Yes",2,"Office Supplies",3.564,3,"(6.8e+03,7e+03]",18,2016,11,5
"91","F","Yes",2,"Furniture",956.6648,7,"(6e+03,6.2e+03]",18,2016,11,6
"92","F","Yes",2,"Furniture",307.92,5,"(6.2e+03,6.4e+03]",18,2016,10,6
"93","F","Yes",2,"Technology",559.992,1,"(7.6e+03,7.8e+03]",16,2014,7,4
"94","F","Yes",2,"Furniture",350.352,4,"(6.4e+03,6.6e+03]",19,2017,11,6
"95","F","Yes",2,"Technology",107.976,3,"(7.8e+03,8e+03]",17,2015,6,3
"96","F","Yes",2,"Office Supplies",8.64,3,"(7e+03,7.2e+03]",19,2017,12,5
"97","F","Yes",2,"Office Supplies",42.616,7,"(6.8e+03,7e+03]",19,2017,9,5
"98","F","Yes",2,"Technology",59.98,2,"(7.8e+03,8e+03]",18,2016,11,4
"99","F","Yes",2,"Technology",99.98,2,"(7.6e+03,7.8e+03]",19,2017,3,4
"100","F","Yes",2,"Office Supplies",32.4,5,"(7e+03,7.2e+03]",19,2017,12,5
"101","F","Yes",2,"Furniture",180.98,1,"(6e+03,6.2e+03]",19,2017,3,6
"102","F","Yes",2,"Office Supplies",38.19,5,"(6.6e+03,6.8e+03]",18,2016,10,5
"103","F","Yes",2,"Office Supplies",12.96,2,"(7.2e+03,7.4e+03]",19,2017,12,5
"104","M","Yes",3,"Office Supplies",540.048,3,"(7.4e+03,7.6e+03]",25,2016,12,2
"105","M","Yes",3,"Office Supplies",15.552,3,"(7e+03,7.2e+03]",26,2017,11,2
"106","M","Yes",3,"Office Supplies",99.9,5,"(7e+03,7.2e+03]",25,2016,6,2
"107","M","Yes",3,"Office Supplies",25.344,6,"(7.2e+03,7.4e+03]",26,2017,11,2
"108","M","Yes",3,"Office Supplies",189.588,2,"(6.8e+03,7e+03]",25,2016,4,2
"109","M","Yes",3,"Technology",63.824,2,"(7.6e+03,7.8e+03]",26,2017,10,4
"110","M","Yes",3,"Technology",291.96,5,"(7.6e+03,7.8e+03]",25,2016,4,4
"111","M","Yes",3,"Office Supplies",22.05,7,"(7e+03,7.2e+03]",25,2016,6,2
"112","M","Yes",3,"Office Supplies",27.882,3,"(6.8e+03,7e+03]",25,2016,12,2
"113","M","Yes",3,"Technology",255.68,8,"(7.6e+03,7.8e+03]",25,2016,12,4
"114","M","Yes",3,"Furniture",2065.32,12,"(6.4e+03,6.6e+03]",26,2017,11,1
"115","M","Yes",3,"Furniture",516.488,7,"(6.2e+03,6.4e+03]",26,2017,11,1
"116","M","Yes",3,"Office Supplies",4.768,2,"(7.4e+03,7.6e+03]",25,2016,4,2
"117","M","Yes",3,"Office Supplies",15.28,2,"(7e+03,7.2e+03]",23,2014,6,2
"118","M","Yes",3,"Technology",408.744,7,"(7.6e+03,7.8e+03]",25,2016,4,4
"119","M","Yes",3,"Furniture",1007.232,6,"(6.2e+03,6.4e+03]",26,2017,11,1
"120","M","Yes",3,"Office Supplies",58.48,8,"(7e+03,7.2e+03]",26,2017,5,2
"121","M","Yes",3,"Office Supplies",25.176,4,"(6.8e+03,7e+03]",24,2015,7,2
"122","M","Yes",4,"Technology",2395.2,6,"(7.6e+03,7.8e+03]",44,2017,7,4
"123","M","Yes",4,"Office Supplies",110.528,4,"(6.8e+03,7e+03]",42,2015,12,2
"124","M","Yes",4,"Office Supplies",3.28,1,"(6.6e+03,6.8e+03]",42,2015,12,2
"125","M","Yes",4,"Office Supplies",5.67,3,"(7e+03,7.2e+03]",41,2014,9,2
"126","M","Yes",4,"Technology",1687.8,4,"(7.6e+03,7.8e+03]",44,2017,7,4
"127","M","Yes",4,"Technology",59.98,2,"(7.6e+03,7.8e+03]",44,2017,7,4
"128","M","Yes",4,"Office Supplies",414.96,2,"(6.4e+03,6.6e+03]",42,2015,12,2
"129","M","Yes",4,"Office Supplies",28.8,9,"(7.2e+03,7.4e+03]",41,2014,9,2
"130","M","Yes",4,"Office Supplies",17.52,3,"(6.6e+03,6.8e+03]",42,2015,3,2
"131","M","Yes",4,"Technology",7.992,1,"(7.8e+03,8e+03]",44,2017,7,3
"132","M","Yes",4,"Office Supplies",7.968,2,"(7.2e+03,7.4e+03]",42,2015,4,2
"133","M","Yes",4,"Office Supplies",20.736,4,"(7.2e+03,7.4e+03]",42,2015,12,2
"134","M","Yes",3,"Office Supplies",45.48,3,"(6.6e+03,6.8e+03]",29,2014,6,2
"135","M","Yes",3,"Furniture",121.78,2,"(6e+03,6.2e+03]",31,2016,9,1
"136","M","Yes",3,"Office Supplies",19.44,3,"(7.2e+03,7.4e+03]",29,2014,8,2
"137","M","Yes",3,"Office Supplies",289.2,6,"(6.6e+03,6.8e+03]",29,2014,6,2
"138","F","Yes",2,"Furniture",141.372,2,"(6.2e+03,6.4e+03]",17,2017,9,6
"139","F","Yes",2,"Office Supplies",4.672,1,"(6.6e+03,6.8e+03]",17,2017,9,5
"140","F","Yes",2,"Technology",95.88,3,"(7.6e+03,7.8e+03]",17,2017,9,4
"141","F","Yes",2,"Office Supplies",16.78,2,"(6.4e+03,6.6e+03]",14,2014,9,5
"142","F","Yes",2,"Technology",258.696,3,"(7.6e+03,7.8e+03]",17,2017,9,4
"143","F","Yes",2,"Furniture",1421.664,6,"(6.4e+03,6.6e+03]",16,2016,12,6
"144","F","Yes",2,"Furniture",154.95,3,"(6.4e+03,6.6e+03]",17,2017,11,6
"145","F","Yes",2,"Office Supplies",8.56,2,"(6.6e+03,6.8e+03]",16,2016,12,5
"146","F","Yes",2,"Furniture",170.136,3,"(6.4e+03,6.6e+03]",15,2015,9,6
"147","F","Yes",2,"Technology",1931.958,7,"(7.8e+03,8e+03]",17,2017,9,4
"148","F","Yes",2,"Office Supplies",4.503,1,"(6.6e+03,6.8e+03]",17,2017,9,5
"149","F","Yes",2,"Office Supplies",45.36,7,"(7.2e+03,7.4e+03]",16,2016,12,5
"150","F","Yes",2,"Office Supplies",1.938,2,"(6.8e+03,7e+03]",15,2015,1,5
"151","F","Yes",2,"Furniture",17.024,2,"(6.2e+03,6.4e+03]",17,2017,9,6
"152","F","Yes",2,"Technology",43.6,4,"(7.8e+03,8e+03]",17,2017,11,4
"153","F","Yes",2,"Office Supplies",29.6,5,"(7.2e+03,7.4e+03]",15,2015,1,5
"154","F","Yes",2,"Technology",328.776,3,"(7.8e+03,8e+03]",14,2014,12,3
"155","F","Yes",2,"Office Supplies",478.08,8,"(7.4e+03,7.6e+03]",17,2017,9,5
"156","F","Yes",2,"Technology",217.584,2,"(7.8e+03,8e+03]",14,2014,12,3
"157","F","Yes",2,"Office Supplies",3.036,2,"(6.8e+03,7e+03]",17,2017,9,5
"158","F","Yes",2,"Office Supplies",12.984,3,"(7e+03,7.2e+03]",14,2014,12,5
"159","F","Yes",2,"Office Supplies",2.896,1,"(7e+03,7.2e+03]",17,2017,8,5
"160","F","Yes",2,"Technology",47.984,2,"(7.6e+03,7.8e+03]",14,2014,12,4
"161","F","Yes",2,"Office Supplies",2.286,3,"(6.8e+03,7e+03]",14,2014,12,5
"162","F","Yes",3,"Technology",439.992,1,"(7.6e+03,7.8e+03]",21,2015,10,4
"163","F","Yes",3,"Technology",506.28,3,"(7.6e+03,7.8e+03]",23,2017,9,4
"164","F","Yes",3,"Technology",859.2,3,"(7.8e+03,8e+03]",23,2017,9,4
"165","F","Yes",3,"Technology",87.96,5,"(7.8e+03,8e+03]",21,2015,10,3
"166","F","Yes",3,"Furniture",106.68,6,"(6.2e+03,6.4e+03]",21,2015,9,6
"167","F","Yes",3,"Technology",244.768,4,"(7.8e+03,8e+03]",22,2016,11,4
"168","F","Yes",3,"Office Supplies",9.392,2,"(7.2e+03,7.4e+03]",21,2015,7,5
"169","F","Yes",3,"Furniture",40.784,2,"(6.2e+03,6.4e+03]",21,2015,2,6
"170","F","Yes",3,"Furniture",15.488,4,"(6.2e+03,6.4e+03]",21,2015,10,6
"171","F","Yes",3,"Furniture",159.84,10,"(6.2e+03,6.4e+03]",21,2015,7,6
"172","F","Yes",3,"Office Supplies",39.72,5,"(7.4e+03,7.6e+03]",22,2016,11,5
"173","F","Yes",3,"Technology",59.994,2,"(7.6e+03,7.8e+03]",21,2015,10,4
"174","F","Yes",3,"Office Supplies",2.892,2,"(6.8e+03,7e+03]",21,2015,7,5
"175","F","Yes",3,"Office Supplies",40.096,4,"(7e+03,7.2e+03]",21,2015,2,5
"176","F","Yes",3,"Office Supplies",7.16,2,"(7e+03,7.2e+03]",20,2014,9,5
"177","F","Yes",3,"Furniture",289.568,2,"(6e+03,6.2e+03]",22,2016,11,6
"178","F","Yes",3,"Technology",74.24,1,"(7.8e+03,8e+03]",21,2015,7,3
"179","F","Yes",3,"Office Supplies",11.01,3,"(6.8e+03,7e+03]",20,2017,7,5
"180","F","Yes",3,"Office Supplies",849.95,5,"(6.8e+03,7e+03]",20,2017,7,5
"181","F","Yes",3,"Office Supplies",66.96,4,"(7.4e+03,7.6e+03]",20,2017,5,5
"182","F","Yes",3,"Furniture",286.85,1,"(6.4e+03,6.6e+03]",20,2017,5,6
"183","F","Yes",3,"Office Supplies",47.9,1,"(7.2e+03,7.4e+03]",19,2016,12,5
"184","F","Yes",3,"Office Supplies",1112.94,3,"(7.4e+03,7.6e+03]",19,2016,12,5
"185","F","Yes",3,"Office Supplies",12.78,1,"(6.8e+03,7e+03]",19,2016,9,5
"186","F","Yes",3,"Office Supplies",11.976,4,"(6.8e+03,7e+03]",19,2016,10,5
"187","F","Yes",3,"Furniture",22.336,4,"(6.2e+03,6.4e+03]",17,2014,4,6
"188","F","Yes",3,"Office Supplies",104.28,3,"(7.4e+03,7.6e+03]",20,2017,5,5
"189","F","Yes",3,"Office Supplies",147.92,5,"(6.8e+03,7e+03]",20,2017,5,5
"190","F","Yes",3,"Office Supplies",17.904,4,"(6.8e+03,7e+03]",19,2016,10,5
"191","F","Yes",3,"Office Supplies",22.92,3,"(6.8e+03,7e+03]",19,2016,12,5
"192","F","Yes",3,"Technology",199.98,2,"(7.6e+03,7.8e+03]",20,2017,5,4
"193","F","Yes",3,"Furniture",31.96,2,"(6.2e+03,6.4e+03]",19,2016,12,6
"194","F","Yes",3,"Office Supplies",9.888,2,"(6.8e+03,7e+03]",19,2016,11,5
"195","F","Yes",3,"Office Supplies",11.54,1,"(7.2e+03,7.4e+03]",20,2017,7,5
"196","F","Yes",3,"Furniture",281.372,2,"(6.2e+03,6.4e+03]",17,2014,4,6
"197","F","Yes",3,"Office Supplies",3.136,2,"(6.6e+03,6.8e+03]",19,2016,11,5
"198","F","Yes",3,"Office Supplies",7.488,8,"(6.6e+03,6.8e+03]",17,2014,4,5
"199","F","Yes",3,"Technology",703.71,6,"(7.6e+03,7.8e+03]",19,2016,10,4
"200","F","Yes",3,"Technology",67.96,5,"(7.6e+03,7.8e+03]",19,2016,10,4
"201","F","Yes",3,"Furniture",281.372,2,"(6.2e+03,6.4e+03]",17,2014,4,6
"202","F","Yes",3,"Office Supplies",671.544,3,"(6.4e+03,6.6e+03]",19,2016,11,5
"203","M","Yes",4,"Office Supplies",25.9,5,"(6.8e+03,7e+03]",30,2017,12,2
"204","M","Yes",4,"Furniture",258.072,3,"(6.2e+03,6.4e+03]",30,2017,4,1
"205","M","Yes",4,"Office Supplies",29.12,5,"(6.8e+03,7e+03]",29,2016,11,2
"206","M","Yes",4,"Office Supplies",5.328,2,"(6.8e+03,7e+03]",30,2017,4,2
"207","M","Yes",4,"Office Supplies",2.48,1,"(6.6e+03,6.8e+03]",30,2017,12,2
"208","M","Yes",4,"Office Supplies",2.78,1,"(6.6e+03,6.8e+03]",30,2017,9,2
"209","M","Yes",4,"Furniture",620.6145,3,"(6.4e+03,6.6e+03]",30,2017,4,1
"210","M","Yes",4,"Office Supplies",230.376,3,"(7.4e+03,7.6e+03]",30,2017,11,2
"211","M","Yes",4,"Furniture",300.904,1,"(6.4e+03,6.6e+03]",30,2017,9,1
"212","M","Yes",4,"Technology",743.988,2,"(7.8e+03,8e+03]",29,2016,5,3
"213","M","Yes",4,"Technology",617.976,3,"(7.6e+03,7.8e+03]",30,2017,4,4
"214","M","Yes",4,"Furniture",233.86,2,"(6.4e+03,6.6e+03]",30,2017,4,1
"215","M","Yes",4,"Office Supplies",310.12,2,"(7.4e+03,7.6e+03]",27,2014,9,2
"216","M","Yes",4,"Office Supplies",270.34,14,"(7.4e+03,7.6e+03]",28,2015,10,2
"217","M","Yes",3,"Furniture",60.288,8,"(6.4e+03,6.6e+03]",23,2016,7,1
"218","M","Yes",3,"Technology",319.984,2,"(7.6e+03,7.8e+03]",24,2017,9,4
"219","M","Yes",3,"Furniture",253.372,2,"(6e+03,6.2e+03]",23,2016,7,1
"220","M","Yes",3,"Furniture",21.184,2,"(6.2e+03,6.4e+03]",24,2017,9,1
"221","M","Yes",3,"Office Supplies",20.808,3,"(6.4e+03,6.6e+03]",24,2017,4,2
"222","M","Yes",3,"Technology",52.792,1,"(7.8e+03,8e+03]",24,2017,10,3
"223","M","Yes",3,"Technology",1035.8,4,"(7.6e+03,7.8e+03]",22,2015,10,3
"224","M","Yes",3,"Office Supplies",2.632,1,"(7e+03,7.2e+03]",23,2016,7,2
"225","M","Yes",3,"Furniture",213.43,5,"(6.2e+03,6.4e+03]",24,2017,9,1
"226","M","Yes",3,"Technology",333.576,3,"(7.8e+03,8e+03]",23,2016,8,3
"227","M","Yes",3,"Office Supplies",23.688,9,"(7.2e+03,7.4e+03]",23,2016,7,2
"228","M","Yes",3,"Office Supplies",22.72,4,"(7.2e+03,7.4e+03]",24,2017,9,2
"229","M","Yes",3,"Furniture",218.352,3,"(6.2e+03,6.4e+03]",24,2017,4,1
"230","M","Yes",3,"Technology",23.976,3,"(7.8e+03,8e+03]",24,2017,4,3
"231","M","Yes",3,"Office Supplies",42.616,7,"(6.8e+03,7e+03]",24,2017,9,2
"232","M","Yes",3,"Office Supplies",20.736,4,"(7e+03,7.2e+03]",24,2017,9,2
"233","M","Yes",3,"Office Supplies",45.92,5,"(7e+03,7.2e+03]",24,2017,9,2
"234","M","Yes",3,"Office Supplies",12.544,2,"(6.6e+03,6.8e+03]",23,2016,8,2
"235","M","Yes",3,"Office Supplies",21.36,5,"(6.6e+03,6.8e+03]",21,2014,2,2
"236","M","Yes",3,"Office Supplies",6.264,3,"(7e+03,7.2e+03]",24,2017,4,2
"237","M","Yes",3,"Furniture",136.464,2,"(6.4e+03,6.6e+03]",23,2016,8,1
"238","M","Yes",4,"Technology",90.57,3,"(7.6e+03,7.8e+03]",39,2017,7,4
"239","M","Yes",4,"Office Supplies",137.352,3,"(7.4e+03,7.6e+03]",36,2014,3,2
"240","M","Yes",4,"Furniture",376.509,3,"(6.4e+03,6.6e+03]",36,2014,3,1
"241","M","Yes",4,"Office Supplies",5.8,1,"(6.8e+03,7e+03]",38,2016,2,2
"242","M","Yes",4,"Office Supplies",111.672,9,"(7.4e+03,7.6e+03]",38,2016,10,2
"243","M","Yes",4,"Furniture",318.08,4,"(6.2e+03,6.4e+03]",38,2016,2,1
"244","M","Yes",4,"Office Supplies",631.176,4,"(6.8e+03,7e+03]",39,2017,12,2
"245","M","Yes",4,"Technology",238,2,"(7.6e+03,7.8e+03]",36,2014,7,3
"246","M","Yes",4,"Technology",279.86,14,"(7.6e+03,7.8e+03]",37,2015,9,3
"247","F","Yes",4,"Office Supplies",179.9,5,"(6.6e+03,6.8e+03]",27,2017,12,5
"248","F","Yes",4,"Office Supplies",10.56,2,"(7e+03,7.2e+03]",25,2015,6,5
"249","F","Yes",4,"Furniture",47.992,2,"(6.2e+03,6.4e+03]",26,2016,11,6
"250","F","Yes",4,"Technology",95.968,4,"(7.6e+03,7.8e+03]",26,2016,11,4
"251","F","Yes",4,"Office Supplies",26.49,1,"(6.4e+03,6.6e+03]",26,2016,12,5
"252","F","Yes",4,"Furniture",1779.9,5,"(6e+03,6.2e+03]",27,2017,8,6
"253","F","Yes",4,"Office Supplies",17.52,3,"(6.6e+03,6.8e+03]",27,2017,8,5
"254","F","Yes",4,"Furniture",1159.056,9,"(6.2e+03,6.4e+03]",27,2017,12,6
"255","F","Yes",4,"Office Supplies",219.9,5,"(6.6e+03,6.8e+03]",27,2017,8,5
"256","F","Yes",4,"Office Supplies",31.872,8,"(7.2e+03,7.4e+03]",27,2017,9,5
"257","F","Yes",4,"Office Supplies",1.696,2,"(6.6e+03,6.8e+03]",25,2015,11,5
"258","F","Yes",4,"Office Supplies",1158.12,5,"(6.4e+03,6.6e+03]",27,2017,11,5
"259","F","Yes",4,"Technology",39.992,1,"(7.8e+03,8e+03]",27,2017,12,4
"260","F","Yes",4,"Furniture",212.94,3,"(6.2e+03,6.4e+03]",26,2016,12,6
"261","F","Yes",4,"Office Supplies",5.344,2,"(6.6e+03,6.8e+03]",25,2015,11,5
"262","F","Yes",4,"Office Supplies",24.588,3,"(6.4e+03,6.6e+03]",25,2015,11,5
"263","F","Yes",4,"Technology",160,8,"(7.6e+03,7.8e+03]",26,2016,11,4
"264","F","Yes",4,"Office Supplies",17.3,1,"(6.8e+03,7e+03]",26,2016,11,5
"265","F","Yes",4,"Office Supplies",7.98,5,"(6.8e+03,7e+03]",25,2015,11,5
"266","F","Yes",4,"Furniture",1568.61,9,"(6.4e+03,6.6e+03]",26,2016,11,6
"267","M","Yes",3,"Office Supplies",299.52,9,"(6.8e+03,7e+03]",18,2017,5,2
"268","M","Yes",3,"Office Supplies",14.62,2,"(7e+03,7.2e+03]",16,2015,1,2
"269","M","Yes",3,"Office Supplies",7.712,2,"(6.8e+03,7e+03]",17,2016,11,2
"270","M","Yes",3,"Office Supplies",70.368,2,"(6.6e+03,6.8e+03]",15,2014,6,2
"271","M","Yes",3,"Office Supplies",38.88,6,"(7e+03,7.2e+03]",17,2016,11,2
"272","M","Yes",3,"Office Supplies",29.04,3,"(7.2e+03,7.4e+03]",16,2015,1,2
"273","M","Yes",3,"Office Supplies",7.56,6,"(7e+03,7.2e+03]",16,2015,5,2
"274","M","Yes",3,"Office Supplies",592.74,6,"(7.4e+03,7.6e+03]",18,2017,12,2
"275","M","Yes",3,"Technology",7.992,1,"(7.8e+03,8e+03]",15,2014,6,3
"276","M","Yes",3,"Office Supplies",4.176,1,"(6.6e+03,6.8e+03]",17,2016,11,2
"277","M","Yes",3,"Technology",63.984,2,"(7.4e+03,7.6e+03]",15,2014,6,3
"278","M","Yes",4,"Office Supplies",11.12,4,"(6.8e+03,7e+03]",51,2014,9,2
"279","M","Yes",4,"Office Supplies",20.136,3,"(6.4e+03,6.6e+03]",54,2017,11,2
"280","M","Yes",4,"Office Supplies",8.856,3,"(6.8e+03,7e+03]",54,2017,11,2
"281","M","Yes",4,"Office Supplies",12.96,2,"(7e+03,7.2e+03]",53,2016,7,2
"282","M","Yes",4,"Furniture",3.312,1,"(6.2e+03,6.4e+03]",54,2017,11,1
