ProductCategory,Sales,Quantity,gender,MaritalStatus,Familysize,Prodbin,Age,year,month
Office Supplies,200.984,7,F,Yes,4,5,82,2015,9
Office Supplies,11.56,2,F,Yes,4,7,84,2017,10
Office Supplies,26.4,5,F,Yes,4,7,84,2017,10
Furniture,69.08,11,F,Yes,4,2,84,2017,10
Technology,35.88,3,F,Yes,4,10,84,2017,10
Office Supplies,12.39,3,F,Yes,4,6,84,2017,11
Furniture,183.372,2,F,Yes,4,2,59,2014,10
Office Supplies,7.968,2,F,Yes,4,7,59,2014,10
Technology,84.78399999999999,2,F,Yes,4,10,60,2016,3
Technology,201.584,2,F,Yes,4,10,61,2016,6
Office Supplies,35.88,6,F,Yes,4,7,61,2016,9
Office Supplies,143.72799999999998,2,F,Yes,4,8,61,2017,3
Technology,46.864,2,F,Yes,4,8,50,2014,5
Office Supplies,21.4,5,F,Yes,4,4,50,2014,6
Technology,177.48,3,F,Yes,4,10,51,2015,11
Furniture,354.9,5,F,Yes,4,1,52,2016,4
Furniture,215.65,5,F,Yes,4,2,52,2016,7
Office Supplies,79.92,4,F,Yes,4,6,53,2017,1
Office Supplies,12.28,1,F,Yes,4,7,53,2017,1
Office Supplies,542.94,3,F,Yes,4,3,53,2017,1
Office Supplies,2.04,1,F,Yes,4,5,53,2017,1
Furniture,183.372,2,F,No,1,2,66,2014,10
Office Supplies,7.968,2,F,No,1,7,66,2014,10
Technology,84.78399999999999,2,F,No,1,10,68,2016,3
Technology,201.584,2,F,No,1,10,68,2016,6
Office Supplies,35.88,6,F,No,1,7,68,2016,9
Office Supplies,143.72799999999998,2,F,No,1,8,69,2017,3
Furniture,1441.3,7,M,No,1,3,30,2014,6
Office Supplies,74.52,9,M,No,1,5,31,2015,2
Office Supplies,8.568,3,M,No,1,5,31,2015,3
Office Supplies,55.6,5,M,No,1,8,31,2015,9
Technology,617.976,3,M,No,1,9,31,2015,9
Office Supplies,32.064,6,M,No,1,7,33,2016,10
Office Supplies,14.03,1,M,No,1,8,33,2016,12
Office Supplies,27.96,2,M,No,1,8,33,2016,12
Technology,89.544,7,M,No,1,9,33,2017,6
Office Supplies,35.168,2,M,No,1,8,33,2017,6
Office Supplies,72.58800000000001,2,M,No,1,4,33,2017,6
Office Supplies,11.184000000000001,1,M,No,1,8,33,2017,6
Office Supplies,153.584,2,M,No,1,8,33,2017,6
Office Supplies,8.64,2,M,No,1,5,34,2017,11
Office Supplies,35.711999999999996,8,M,No,1,3,34,2017,11
Office Supplies,646.2,5,F,Yes,4,8,65,2014,11
Furniture,277.5,4,F,Yes,4,3,65,2015,8
Office Supplies,152.94,3,F,Yes,4,3,66,2015,12
Furniture,283.92,4,F,Yes,4,2,66,2015,12
Office Supplies,23.16,2,F,Yes,4,5,67,2017,5
Furniture,72.704,4,F,Yes,4,2,68,2017,12
Office Supplies,12.264000000000001,7,F,Yes,4,3,68,2017,12
Office Supplies,218.352,3,F,Yes,4,8,68,2017,12
Office Supplies,34.2,5,M,Yes,3,8,35,2014,5
Office Supplies,31.68,4,M,Yes,3,8,36,2015,8
Office Supplies,10.368,2,M,Yes,3,6,36,2015,8
Office Supplies,12.032,8,M,Yes,3,6,36,2015,8
Office Supplies,5.768,2,M,Yes,3,3,36,2015,8
Furniture,153.56799999999998,2,M,Yes,3,2,36,2016,1
Furniture,1013.488,7,M,Yes,3,1,36,2016,1
Office Supplies,54.9,5,M,Yes,3,8,37,2017,4
Office Supplies,19.56,5,M,Yes,3,4,38,2017,6
Office Supplies,7.56,3,M,Yes,3,4,38,2017,7
Office Supplies,24.56,2,M,Yes,3,6,38,2017,7
Office Supplies,12.96,2,M,Yes,3,4,38,2017,7
Office Supplies,1.08,2,M,Yes,3,5,38,2017,7
Office Supplies,10.44,5,M,Yes,3,6,38,2017,11
Office Supplies,18.336,4,M,Yes,3,5,38,2017,11
Furniture,24.048000000000002,9,M,Yes,3,2,38,2017,11
Office Supplies,16.272000000000002,1,M,Yes,4,8,24,2014,3
Office Supplies,18.06,7,M,Yes,4,4,24,2014,6
Office Supplies,79.14,3,M,Yes,4,7,24,2014,6
Furniture,37.4,2,M,Yes,4,2,24,2014,6
Furniture,87.54,3,M,Yes,4,2,24,2014,9
Technology,99.98,2,M,Yes,4,9,24,2014,11
Office Supplies,733.95,7,M,Yes,4,7,24,2014,11
Office Supplies,241.44,3,M,Yes,4,3,24,2014,11
Office Supplies,8.448,2,M,Yes,4,6,24,2014,12
Office Supplies,20.387999999999998,2,M,Yes,4,3,24,2014,12
Technology,1039.728,2,M,Yes,4,10,26,2016,8
Office Supplies,45.96,2,M,Yes,4,3,26,2016,8
Technology,239.976,3,M,Yes,4,10,27,2017,6
Furniture,31.168000000000003,4,M,Yes,4,3,27,2017,6
Furniture,120.96,2,M,Yes,4,3,27,2017,6
Technology,2239.936,8,M,Yes,4,10,27,2017,6
Office Supplies,76.608,8,M,Yes,4,3,27,2017,6
Office Supplies,142.776,1,M,Yes,4,8,27,2017,6
Office Supplies,91.36,5,M,Yes,4,6,27,2017,6
Office Supplies,32.76,7,M,Yes,4,4,30,2014,6
Furniture,15.384,1,M,Yes,4,3,30,2014,10
Office Supplies,19.65,3,M,Yes,4,7,31,2015,11
Office Supplies,170.88,3,M,Yes,4,3,32,2016,2
Furniture,187.05599999999998,9,M,Yes,4,1,32,2016,5
Office Supplies,10.9,5,M,Yes,4,6,32,2016,9
Office Supplies,29.6,2,M,Yes,4,6,32,2016,9
Office Supplies,4.98,1,M,Yes,4,6,32,2016,9
Technology,479.976,3,M,Yes,4,9,32,2016,9
Technology,44.736000000000004,8,M,Yes,4,10,32,2016,9
Office Supplies,5.76,2,M,Yes,4,4,32,2016,9
Furniture,483.13599999999997,4,M,Yes,4,1,32,2016,9
Office Supplies,6.0,2,M,Yes,4,6,32,2017,1
Office Supplies,12.294,1,M,Yes,4,5,33,2017,9
Office Supplies,79.47,3,M,Yes,4,3,65,2014,8
Office Supplies,4.56,2,M,Yes,4,4,65,2014,8
Furniture,1133.35,5,M,Yes,4,2,65,2014,8
Office Supplies,32.04,4,M,Yes,4,7,67,2016,5
Furniture,892.98,2,M,Yes,4,3,68,2017,1
Office Supplies,179.94,3,M,Yes,4,3,68,2017,7
Furniture,872.94,3,M,Yes,4,3,68,2017,7
Office Supplies,12.96,2,M,Yes,4,7,68,2017,7
Office Supplies,13.05,5,M,Yes,4,6,68,2017,10
Office Supplies,323.1,2,M,No,1,8,36,2015,8
Office Supplies,61.44,3,M,No,1,3,37,2016,10
Office Supplies,54.96,3,M,No,1,3,37,2016,11
Office Supplies,5.484,4,F,Yes,3,5,40,2014,12
Technology,249.95,5,F,Yes,3,9,42,2016,12
Office Supplies,49.12,4,F,Yes,3,7,42,2016,12
Office Supplies,25.68,6,F,Yes,3,7,42,2017,3
Office Supplies,56.56,2,F,Yes,3,8,43,2017,7
Furniture,36.96,7,F,Yes,3,2,43,2017,7
Office Supplies,38.16,9,F,Yes,3,4,43,2017,11
Office Supplies,140.736,8,M,Yes,4,5,26,2014,5
Furniture,111.15,5,M,Yes,4,2,27,2014,11
Office Supplies,70.12,4,M,Yes,4,8,28,2015,10
Office Supplies,68.81,5,M,Yes,4,3,28,2015,11
Office Supplies,2.544,3,M,Yes,4,4,28,2015,11
Office Supplies,184.66,7,M,Yes,4,7,28,2015,12
Technology,95.984,2,M,Yes,4,9,29,2017,1
Office Supplies,4.938,2,M,Yes,4,5,29,2017,1
Office Supplies,68.472,3,M,Yes,4,5,30,2017,11
Furniture,1242.9,5,M,Yes,4,2,30,2017,11
Office Supplies,114.2,5,M,Yes,4,6,44,2014,12
Office Supplies,52.59,3,M,Yes,4,8,45,2015,7
Office Supplies,714.3,5,M,Yes,4,8,45,2015,11
Office Supplies,45.583999999999996,7,M,Yes,4,8,45,2016,7
Technology,519.68,7,M,Yes,4,10,46,2016,9
Office Supplies,68.52,3,M,Yes,4,7,46,2016,9
Technology,499.95,5,M,Yes,4,9,46,2016,9
Office Supplies,3.04,1,M,Yes,4,4,46,2016,9
Furniture,201.96,2,M,Yes,4,2,46,2016,9
Furniture,68.64,11,M,Yes,4,2,46,2016,9
Office Supplies,73.536,4,M,Yes,4,3,46,2016,12
Office Supplies,177.2,5,M,Yes,4,7,47,2017,8
Office Supplies,15.224,2,M,Yes,4,3,47,2017,10
Office Supplies,21.984,6,M,Yes,4,3,47,2017,10
Office Supplies,34.76,1,M,Yes,4,8,74,2015,7
Technology,831.2,5,M,Yes,4,9,74,2015,7
Office Supplies,26.4,5,M,Yes,4,6,74,2015,7
Office Supplies,106.75,7,M,Yes,4,5,74,2015,7
Office Supplies,97.82,2,M,Yes,4,7,74,2015,7
Office Supplies,141.4,5,M,Yes,4,8,74,2015,7
Furniture,209.67,1,M,Yes,4,3,75,2015,10
Office Supplies,12.192,3,M,Yes,4,7,77,2017,9
Office Supplies,36.4,5,F,Yes,3,5,32,2016,7
Furniture,51.75,1,F,Yes,3,3,32,2016,7
Office Supplies,24.56,2,F,Yes,4,8,53,2014,12
Technology,119.8,4,F,Yes,4,9,53,2014,12
Technology,447.944,7,F,Yes,4,9,54,2015,3
Office Supplies,150.408,9,F,Yes,4,8,54,2015,3
Office Supplies,41.86,7,F,Yes,4,4,55,2016,11
Furniture,307.666,2,F,Yes,4,1,56,2017,10
Furniture,82.38,6,F,Yes,4,2,56,2017,12
Technology,46.864,2,F,Yes,4,8,63,2014,5
Office Supplies,21.4,5,F,Yes,4,4,63,2014,6
Technology,177.48,3,F,Yes,4,10,65,2015,11
Furniture,354.9,5,F,Yes,4,1,65,2016,4
Furniture,215.65,5,F,Yes,4,2,65,2016,7
Office Supplies,79.92,4,F,Yes,4,6,66,2017,1
Office Supplies,12.28,1,F,Yes,4,7,66,2017,1
Office Supplies,542.94,3,F,Yes,4,3,66,2017,1
Office Supplies,2.04,1,F,Yes,4,5,66,2017,1
Office Supplies,5.0,1,F,Yes,4,6,76,2015,11
Technology,371.97,3,F,Yes,4,9,76,2015,11
Office Supplies,1.4080000000000001,1,F,Yes,4,4,77,2016,10
Furniture,169.56799999999998,2,F,Yes,4,2,77,2016,10
Office Supplies,19.83,1,F,Yes,4,4,77,2017,3
Furniture,25.83,3,F,Yes,4,2,78,2017,11
Technology,18.392,1,M,Yes,3,8,21,2015,3
Office Supplies,129.56799999999998,2,M,Yes,3,8,21,2015,3
Office Supplies,14.112,9,M,Yes,3,4,21,2015,3
Office Supplies,67.64,5,M,Yes,3,8,22,2016,3
Technology,119.976,3,M,Yes,3,9,22,2016,3
Office Supplies,2.694,2,M,Yes,3,5,22,2016,5
Furniture,122.352,3,M,Yes,3,2,22,2016,6
Furniture,58.248000000000005,9,M,Yes,3,2,22,2016,9
Furniture,71.24600000000001,2,M,Yes,3,1,22,2016,9
Office Supplies,7.872000000000001,3,M,Yes,3,4,22,2016,9
Furniture,887.2710000000001,3,M,Yes,3,1,22,2016,9
Office Supplies,5.343999999999999,1,M,Yes,3,7,22,2016,9
Technology,36.192,1,M,Yes,3,10,23,2016,11
Office Supplies,85.52,2,M,Yes,3,8,23,2017,10
Technology,104.88,6,M,Yes,3,9,24,2017,12
Office Supplies,34.7,5,M,Yes,3,4,24,2017,12
Office Supplies,33.72,4,M,Yes,3,5,24,2017,12
Office Supplies,14.94,3,M,Yes,3,6,24,2017,12
Technology,281.97,3,M,Yes,3,10,24,2017,12
Office Supplies,69.5,5,M,Yes,3,8,24,2017,12
Office Supplies,166.44,3,M,Yes,3,6,24,2017,12
Office Supplies,3.576,4,M,Yes,4,5,33,2015,9
Office Supplies,147.184,2,M,Yes,4,8,33,2015,9
Office Supplies,8.4,5,M,Yes,4,6,35,2017,2
Technology,71.96,5,M,Yes,4,10,35,2017,2
Office Supplies,12.767999999999999,2,M,Yes,4,8,35,2017,3
Office Supplies,23.1,2,M,Yes,4,4,35,2017,9
Furniture,11.54,2,M,Yes,4,2,35,2017,9
Furniture,254.52599999999998,1,M,Yes,4,3,35,2017,9
Office Supplies,12.98,1,M,Yes,4,3,35,2017,9
Office Supplies,26.432,8,M,Yes,4,5,35,2017,9
Technology,197.97,3,M,Yes,4,10,35,2017,9
Office Supplies,18.9,6,M,Yes,4,6,35,2017,9
Furniture,1282.41,5,M,Yes,4,2,35,2017,9
Office Supplies,4.92,3,M,Yes,4,4,35,2017,9
Technology,238.0,2,M,Yes,4,9,35,2017,9
Technology,167.97,3,M,Yes,4,8,35,2017,9
Office Supplies,17.12,4,M,Yes,4,7,35,2017,9
Furniture,37.93,1,M,Yes,4,2,36,2017,12
Office Supplies,6.08,2,F,Yes,3,4,47,2015,9
Office Supplies,124.75,5,F,Yes,3,5,49,2017,10
Office Supplies,2.9339999999999997,3,M,Yes,4,5,44,2015,2
Technology,18.528,2,M,Yes,4,9,44,2015,2
Office Supplies,670.752,3,M,Yes,4,8,44,2015,2
Office Supplies,57.75,5,M,Yes,4,4,45,2015,4
Office Supplies,272.4,5,M,Yes,4,3,45,2015,4
Office Supplies,19.89,9,M,Yes,4,4,46,2016,12
Technology,399.98,2,M,Yes,4,9,46,2016,12
Furniture,343.85,5,M,Yes,4,2,46,2016,12
Office Supplies,106.32,3,M,Yes,4,7,46,2016,12
Office Supplies,31.744,2,M,Yes,4,4,46,2017,1
Office Supplies,5.432,2,M,Yes,4,3,46,2017,1
Furniture,913.43,5,M,Yes,4,3,46,2017,1
Office Supplies,372.144,3,M,Yes,4,8,46,2017,1
Office Supplies,152.94,3,M,Yes,4,3,47,2017,5
Office Supplies,76.12,2,M,Yes,4,3,28,2014,8
Technology,1199.976,3,M,Yes,4,9,28,2014,8
