"BillNumber","BillDate","CustomerID","ProductID","ProductCategory","Sales","Quantity"
"B43345",2014-01-06,"C14916","PR7191","Office Supplies",6.54,1
"B32629",2014-01-07,"C14300","PR6423","Furniture",76.728,3
"B32629",2014-01-07,"C14300","PR6899","Office Supplies",10.43,7
"B37638",2014-01-07,"C13236","PR6423","Furniture",76.728,3
"B37638",2014-01-07,"C13236","PR6899","Office Supplies",10.43,7
"B42647",2014-01-07,"C12792","PR6423","Furniture",76.728,3
"B42647",2014-01-07,"C12792","PR6899","Office Supplies",10.43,7
"B32988",2014-01-09,"C14432","PR6724","Office Supplies",9.344,2
"B32988",2014-01-09,"C14432","PR7602","Technology",31.2,3
"B37997",2014-01-09,"C12955","PR6724","Office Supplies",9.344,2
"B37997",2014-01-09,"C12955","PR7602","Technology",31.2,3
"B43006",2014-01-09,"C13602","PR6724","Office Supplies",9.344,2
"B43006",2014-01-09,"C13602","PR7602","Technology",31.2,3
"B33133",2014-01-10,"C14138","PR7114","Office Supplies",2.89,1
"B33133",2014-01-10,"C14138","PR6282","Furniture",51.94,1
"B38142",2014-01-10,"C13837","PR7114","Office Supplies",2.89,1
"B38142",2014-01-10,"C13837","PR6282","Furniture",51.94,1
"B43151",2014-01-10,"C14589","PR7114","Office Supplies",2.89,1
"B43151",2014-01-10,"C14589","PR6282","Furniture",51.94,1
"B32921",2014-01-11,"C14178","PR6248","Furniture",9.94,2
"B37930",2014-01-11,"C13705","PR6248","Furniture",9.94,2
"B42939",2014-01-11,"C14562","PR6248","Furniture",9.94,2
"B33221",2014-01-13,"C14617","PR7405","Office Supplies",1325.85,5
"B33221",2014-01-13,"C14617","PR6138","Furniture",333.999,3
"B33221",2014-01-13,"C14617","PR6697","Office Supplies",19.9,5
"B33270",2014-01-13,"C14358","PR6977","Office Supplies",11.36,2
"B33270",2014-01-13,"C14358","PR6973","Office Supplies",50.94,3
"B33270",2014-01-13,"C14358","PR7665","Technology",646.74,6
"B33270",2014-01-13,"C14358","PR6922","Office Supplies",5.64,3
"B33270",2014-01-13,"C14358","PR7401","Office Supplies",572.58,6
"B32777",2014-01-13,"C14036","PR7304","Office Supplies",37.408,7
"B32777",2014-01-13,"C14036","PR6887","Office Supplies",3.438,2
"B32671",2014-01-13,"C12984","PR6166","Furniture",545.94,6
"B38230",2014-01-13,"C13620","PR7405","Office Supplies",1325.85,5
"B38230",2014-01-13,"C13620","PR6138","Furniture",333.999,3
"B38230",2014-01-13,"C13620","PR6697","Office Supplies",19.9,5
"B38279",2014-01-13,"C14048","PR6977","Office Supplies",11.36,2
"B38279",2014-01-13,"C14048","PR6973","Office Supplies",50.94,3
"B38279",2014-01-13,"C14048","PR7665","Technology",646.74,6
"B38279",2014-01-13,"C14048","PR6922","Office Supplies",5.64,3
"B38279",2014-01-13,"C14048","PR7401","Office Supplies",572.58,6
"B37786",2014-01-13,"C12607","PR7304","Office Supplies",37.408,7
"B37786",2014-01-13,"C12607","PR6887","Office Supplies",3.438,2
"B37680",2014-01-13,"C13642","PR6166","Furniture",545.94,6
"B43239",2014-01-13,"C13664","PR7405","Office Supplies",1325.85,5
"B43239",2014-01-13,"C13664","PR6138","Furniture",333.999,3
"B43239",2014-01-13,"C13664","PR6697","Office Supplies",19.9,5
"B43288",2014-01-13,"C14307","PR6977","Office Supplies",11.36,2
"B43288",2014-01-13,"C14307","PR6973","Office Supplies",50.94,3
"B43288",2014-01-13,"C14307","PR7665","Technology",646.74,6
"B43288",2014-01-13,"C14307","PR6922","Office Supplies",5.64,3
"B43288",2014-01-13,"C14307","PR7401","Office Supplies",572.58,6
"B42795",2014-01-13,"C13924","PR7304","Office Supplies",37.408,7
"B42795",2014-01-13,"C13924","PR6887","Office Supplies",3.438,2
"B42689",2014-01-13,"C14810","PR6166","Furniture",545.94,6
"B33137",2014-01-14,"C12662","PR6142","Furniture",61.96,4
"B38146",2014-01-14,"C12926","PR6142","Furniture",61.96,4
"B43155",2014-01-14,"C13426","PR6142","Furniture",61.96,4
"B32597",2014-01-15,"C14616","PR7678","Technology",149.95,5
"B37606",2014-01-15,"C13549","PR7678","Technology",149.95,5
"B42615",2014-01-15,"C14572","PR7678","Technology",149.95,5
"B32751",2014-01-16,"C14224","PR6287","Furniture",127.104,6
"B32751",2014-01-16,"C14224","PR7959","Technology",124.2,3
"B32751",2014-01-16,"C14224","PR6810","Office Supplies",18.588,2
"B32751",2014-01-16,"C14224","PR7070","Office Supplies",30.072,3
"B37760",2014-01-16,"C14827","PR6287","Furniture",127.104,6
"B37760",2014-01-16,"C14827","PR7959","Technology",124.2,3
"B37760",2014-01-16,"C14827","PR6810","Office Supplies",18.588,2
"B37760",2014-01-16,"C14827","PR7070","Office Supplies",30.072,3
"B42769",2014-01-16,"C12776","PR6287","Furniture",127.104,6
"B42769",2014-01-16,"C12776","PR7959","Technology",124.2,3
"B42769",2014-01-16,"C12776","PR6810","Office Supplies",18.588,2
"B42769",2014-01-16,"C12776","PR7070","Office Supplies",30.072,3
"B32834",2014-01-18,"C12992","PR6501","Office Supplies",64.864,4
"B37843",2014-01-18,"C13563","PR6501","Office Supplies",64.864,4
"B42852",2014-01-18,"C13125","PR6501","Office Supplies",64.864,4
"B33105",2014-01-19,"C14448","PR6895","Office Supplies",32.34,10
"B33105",2014-01-19,"C14448","PR7176","Office Supplies",56.064,4
"B33105",2014-01-19,"C14448","PR6981","Office Supplies",108.72,5
"B33105",2014-01-19,"C14448","PR6127","Furniture",181.47,5
"B38114",2014-01-19,"C13911","PR6895","Office Supplies",32.34,10
"B38114",2014-01-19,"C13911","PR7176","Office Supplies",56.064,4
"B38114",2014-01-19,"C13911","PR6981","Office Supplies",108.72,5
"B38114",2014-01-19,"C13911","PR6127","Furniture",181.47,5
"B43123",2014-01-19,"C12573","PR6895","Office Supplies",32.34,10
"B43123",2014-01-19,"C12573","PR7176","Office Supplies",56.064,4
"B43123",2014-01-19,"C12573","PR6981","Office Supplies",108.72,5
"B43123",2014-01-19,"C12573","PR6127","Furniture",181.47,5
"B36850",2014-01-20,"C14467","PR7823","Technology",699.93,7
"B36850",2014-01-20,"C14467","PR6663","Office Supplies",22.96,7
"B36850",2014-01-20,"C14467","PR6362","Furniture",38.6,4
"B36850",2014-01-20,"C14467","PR6711","Office Supplies",6.63,3
"B36850",2014-01-20,"C14467","PR6975","Office Supplies",23.34,3
"B36850",2014-01-20,"C14467","PR6200","Furniture",1067.94,3
"B36853",2014-01-20,"C13799","PR6874","Office Supplies",67.194,1
"B33128",2014-01-20,"C13817","PR7302","Office Supplies",19.36,2
"B33128",2014-01-20,"C13817","PR6362","Furniture",19.3,2
"B33332",2014-01-20,"C13589","PR7428","Office Supplies",13.98,1
"B33332",2014-01-20,"C13589","PR6352","Furniture",272.94,3
"B33332",2014-01-20,"C13589","PR6772","Office Supplies",19.05,5
"B33332",2014-01-20,"C13589","PR6533","Office Supplies",247.716,4
"B33332",2014-01-20,"C13589","PR7496","Office Supplies",66.58,2
"B33332",2014-01-20,"C13589","PR6731","Office Supplies",43.92,3
"B33332",2014-01-20,"C13589","PR6330","Furniture",14.73,3
"B33332",2014-01-20,"C13589","PR6932","Office Supplies",29.7,5
"B41859",2014-01-20,"C13429","PR7823","Technology",699.93,7
"B41859",2014-01-20,"C13429","PR6663","Office Supplies",22.96,7
"B41859",2014-01-20,"C13429","PR6362","Furniture",38.6,4
"B41859",2014-01-20,"C13429","PR6711","Office Supplies",6.63,3
"B41859",2014-01-20,"C13429","PR6975","Office Supplies",23.34,3
"B41859",2014-01-20,"C13429","PR6200","Furniture",1067.94,3
"B41862",2014-01-20,"C14099","PR6874","Office Supplies",67.194,1
"B38137",2014-01-20,"C13385","PR7302","Office Supplies",19.36,2
"B38137",2014-01-20,"C13385","PR6362","Furniture",19.3,2
"B38341",2014-01-20,"C13455","PR7428","Office Supplies",13.98,1
"B38341",2014-01-20,"C13455","PR6352","Furniture",272.94,3
"B38341",2014-01-20,"C13455","PR6772","Office Supplies",19.05,5
"B38341",2014-01-20,"C13455","PR6533","Office Supplies",247.716,4
"B38341",2014-01-20,"C13455","PR7496","Office Supplies",66.58,2
"B38341",2014-01-20,"C13455","PR6731","Office Supplies",43.92,3
"B38341",2014-01-20,"C13455","PR6330","Furniture",14.73,3
"B38341",2014-01-20,"C13455","PR6932","Office Supplies",29.7,5
"B46868",2014-01-20,"C14652","PR7823","Technology",699.93,7
"B46868",2014-01-20,"C14652","PR6663","Office Supplies",22.96,7
"B46868",2014-01-20,"C14652","PR6362","Furniture",38.6,4
"B46868",2014-01-20,"C14652","PR6711","Office Supplies",6.63,3
"B46868",2014-01-20,"C14652","PR6975","Office Supplies",23.34,3
"B46868",2014-01-20,"C14652","PR6200","Furniture",1067.94,3
"B46871",2014-01-20,"C14631","PR6874","Office Supplies",67.194,1
"B43146",2014-01-20,"C13645","PR7302","Office Supplies",19.36,2
"B43146",2014-01-20,"C13645","PR6362","Furniture",19.3,2
"B43350",2014-01-20,"C13105","PR7428","Office Supplies",13.98,1
"B43350",2014-01-20,"C13105","PR6352","Furniture",272.94,3
"B43350",2014-01-20,"C13105","PR6772","Office Supplies",19.05,5
"B43350",2014-01-20,"C13105","PR6533","Office Supplies",247.716,4
"B43350",2014-01-20,"C13105","PR7496","Office Supplies",66.58,2
"B43350",2014-01-20,"C13105","PR6731","Office Supplies",43.92,3
"B43350",2014-01-20,"C13105","PR6330","Furniture",14.73,3
"B43350",2014-01-20,"C13105","PR6932","Office Supplies",29.7,5
"B32689",2014-01-21,"C13306","PR6312","Furniture",25.248,3
"B37698",2014-01-21,"C14808","PR6312","Furniture",25.248,3
"B42707",2014-01-21,"C12694","PR6312","Furniture",25.248,3
"B32584",2014-01-23,"C12737","PR7241","Office Supplies",40.08,6
"B33115",2014-01-23,"C13177","PR7045","Office Supplies",5.94,3
"B37593",2014-01-23,"C14639","PR7241","Office Supplies",40.08,6
"B38124",2014-01-23,"C12612","PR7045","Office Supplies",5.94,3
"B42602",2014-01-23,"C13311","PR7241","Office Supplies",40.08,6
"B43133",2014-01-23,"C14774","PR7045","Office Supplies",5.94,3
"B33333",2014-01-26,"C14233","PR6822","Office Supplies",10.68,2
"B33333",2014-01-26,"C14233","PR6155","Furniture",141.96,2
"B36869",2014-01-26,"C14144","PR6413","Furniture",62.82,3
"B36869",2014-01-26,"C14144","PR7522","Office Supplies",489.92,8
"B36869",2014-01-26,"C14144","PR7314","Office Supplies",19.44,3
"B36869",2014-01-26,"C14144","PR7157","Office Supplies",16.68,2
"B36869",2014-01-26,"C14144","PR7964","Technology",155.35,13
"B36869",2014-01-26,"C14144","PR6307","Furniture",12.42,3
"B36869",2014-01-26,"C14144","PR7866","Technology",187.98,2
"B38342",2014-01-26,"C14070","PR6822","Office Supplies",10.68,2
"B38342",2014-01-26,"C14070","PR6155","Furniture",141.96,2
"B41878",2014-01-26,"C12949","PR6413","Furniture",62.82,3
"B41878",2014-01-26,"C12949","PR7522","Office Supplies",489.92,8
"B41878",2014-01-26,"C12949","PR7314","Office Supplies",19.44,3
"B41878",2014-01-26,"C12949","PR7157","Office Supplies",16.68,2
"B41878",2014-01-26,"C12949","PR7964","Technology",155.35,13
"B41878",2014-01-26,"C12949","PR6307","Furniture",12.42,3
"B41878",2014-01-26,"C12949","PR7866","Technology",187.98,2
"B43351",2014-01-26,"C13269","PR6822","Office Supplies",10.68,2
"B43351",2014-01-26,"C13269","PR6155","Furniture",141.96,2
"B46887",2014-01-26,"C14814","PR6413","Furniture",62.82,3
"B46887",2014-01-26,"C14814","PR7522","Office Supplies",489.92,8
"B46887",2014-01-26,"C14814","PR7314","Office Supplies",19.44,3
"B46887",2014-01-26,"C14814","PR7157","Office Supplies",16.68,2
"B46887",2014-01-26,"C14814","PR7964","Technology",155.35,13
"B46887",2014-01-26,"C14814","PR6307","Furniture",12.42,3
"B46887",2014-01-26,"C14814","PR7866","Technology",187.98,2
"B36785",2014-01-27,"C13039","PR7511","Office Supplies",57.23,1
"B36785",2014-01-27,"C13039","PR6466","Furniture",333,3
"B36785",2014-01-27,"C13039","PR6683","Office Supplies",36.44,4
"B41794",2014-01-27,"C14401","PR7511","Office Supplies",57.23,1
"B41794",2014-01-27,"C14401","PR6466","Furniture",333,3
"B41794",2014-01-27,"C14401","PR6683","Office Supplies",36.44,4
"B46803",2014-01-27,"C12958","PR7511","Office Supplies",57.23,1
"B46803",2014-01-27,"C12958","PR6466","Furniture",333,3
"B46803",2014-01-27,"C12958","PR6683","Office Supplies",36.44,4
"B32554",2014-01-28,"C13805","PR6765","Office Supplies",3.928,1
"B37563",2014-01-28,"C14804","PR6765","Office Supplies",3.928,1
"B42572",2014-01-28,"C14321","PR6765","Office Supplies",3.928,1
"B32978",2014-01-30,"C13127","PR7200","Office Supplies",10.56,2
"B32978",2014-01-30,"C13127","PR7437","Office Supplies",229.94,2
"B37987",2014-01-30,"C13453","PR7200","Office Supplies",10.56,2
"B37987",2014-01-30,"C13453","PR7437","Office Supplies",229.94,2
"B42996",2014-01-30,"C13578","PR7200","Office Supplies",10.56,2
"B42996",2014-01-30,"C13578","PR7437","Office Supplies",229.94,2
"B32747",2014-01-31,"C14317","PR6150","Furniture",290.666,2
"B37756",2014-01-31,"C13800","PR6150","Furniture",290.666,2
"B42765",2014-01-31,"C12859","PR6150","Furniture",290.666,2
"B33046",2014-02-01,"C12748","PR7607","Technology",468.9,6
"B38055",2014-02-01,"C12801","PR7607","Technology",468.9,6
"B43064",2014-02-01,"C13951","PR7607","Technology",468.9,6
"B33033",2014-02-02,"C13295","PR7031","Office Supplies",12.35,5
"B32833",2014-02-02,"C14526","PR6774","Office Supplies",18.336,2
"B32833",2014-02-02,"C14526","PR7905","Technology",180.96,5
"B38042",2014-02-02,"C12645","PR7031","Office Supplies",12.35,5
"B37842",2014-02-02,"C12843","PR6774","Office Supplies",18.336,2
"B37842",2014-02-02,"C12843","PR7905","Technology",180.96,5
"B43051",2014-02-02,"C14342","PR7031","Office Supplies",12.35,5
"B42851",2014-02-02,"C12937","PR6774","Office Supplies",18.336,2
"B42851",2014-02-02,"C12937","PR7905","Technology",180.96,5
"B32697",2014-02-03,"C13306","PR6941","Office Supplies",83.84,2
"B32697",2014-02-03,"C13306","PR6863","Office Supplies",13.272,3
"B37706",2014-02-03,"C14808","PR6941","Office Supplies",83.84,2
"B37706",2014-02-03,"C14808","PR6863","Office Supplies",13.272,3
"B42715",2014-02-03,"C12694","PR6941","Office Supplies",83.84,2
"B42715",2014-02-03,"C12694","PR6863","Office Supplies",13.272,3
"B32647",2014-02-04,"C14592","PR6925","Office Supplies",82.896,3
"B32647",2014-02-04,"C14592","PR7155","Office Supplies",34.24,4
"B32621",2014-02-04,"C14909","PR6895","Office Supplies",17.248,2
"B37656",2014-02-04,"C14590","PR6925","Office Supplies",82.896,3
"B37656",2014-02-04,"C14590","PR7155","Office Supplies",34.24,4
"B37630",2014-02-04,"C13497","PR6895","Office Supplies",17.248,2
"B42665",2014-02-04,"C13326","PR6925","Office Supplies",82.896,3
"B42665",2014-02-04,"C13326","PR7155","Office Supplies",34.24,4
"B42639",2014-02-04,"C13131","PR6895","Office Supplies",17.248,2
"B32660",2014-02-06,"C14224","PR6798","Office Supplies",8.952,2
"B32945",2014-02-06,"C13265","PR7093","Office Supplies",15,4
"B32945",2014-02-06,"C13265","PR7928","Technology",161.61,1
"B32945",2014-02-06,"C13265","PR7846","Technology",144.95,5
"B37669",2014-02-06,"C14827","PR6798","Office Supplies",8.952,2
"B37954",2014-02-06,"C14636","PR7093","Office Supplies",15,4
"B37954",2014-02-06,"C14636","PR7928","Technology",161.61,1
"B37954",2014-02-06,"C14636","PR7846","Technology",144.95,5
"B42678",2014-02-06,"C12776","PR6798","Office Supplies",8.952,2
"B42963",2014-02-06,"C13739","PR7093","Office Supplies",15,4
"B42963",2014-02-06,"C13739","PR7928","Technology",161.61,1
"B42963",2014-02-06,"C13739","PR7846","Technology",144.95,5
"B32654",2014-02-07,"C13516","PR7587","Technology",115.36,7
"B36907",2014-02-07,"C14358","PR7460","Office Supplies",64.96,4
"B37663",2014-02-07,"C13545","PR7587","Technology",115.36,7
"B41916",2014-02-07,"C14048","PR7460","Office Supplies",64.96,4
"B42672",2014-02-07,"C12649","PR7587","Technology",115.36,7
"B46925",2014-02-07,"C14307","PR7460","Office Supplies",64.96,4
"B32865",2014-02-08,"C14285","PR6324","Furniture",14.56,2
"B37874",2014-02-08,"C12987","PR6324","Furniture",14.56,2
"B42883",2014-02-08,"C12829","PR6324","Furniture",14.56,2
"B33338",2014-02-11,"C13660","PR6177","Furniture",60.89,1
"B33338",2014-02-11,"C13660","PR7124","Office Supplies",14.94,3
"B33338",2014-02-11,"C13660","PR6947","Office Supplies",9.64,2
"B33338",2014-02-11,"C13660","PR6331","Furniture",332.94,3
"B33338",2014-02-11,"C13660","PR6944","Office Supplies",51.9,3
"B33338",2014-02-11,"C13660","PR7488","Office Supplies",64.96,2
"B32894",2014-02-11,"C12979","PR7607","Technology",234.45,3
"B32894",2014-02-11,"C12979","PR6469","Furniture",1256.22,6
"B32894",2014-02-11,"C12979","PR6879","Office Supplies",17.46,2
"B38347",2014-02-11,"C14853","PR6177","Furniture",60.89,1
"B38347",2014-02-11,"C14853","PR7124","Office Supplies",14.94,3
"B38347",2014-02-11,"C14853","PR6947","Office Supplies",9.64,2
"B38347",2014-02-11,"C14853","PR6331","Furniture",332.94,3
"B38347",2014-02-11,"C14853","PR6944","Office Supplies",51.9,3
"B38347",2014-02-11,"C14853","PR7488","Office Supplies",64.96,2
"B37903",2014-02-11,"C13983","PR7607","Technology",234.45,3
"B37903",2014-02-11,"C13983","PR6469","Furniture",1256.22,6
"B37903",2014-02-11,"C13983","PR6879","Office Supplies",17.46,2
"B43356",2014-02-11,"C13657","PR6177","Furniture",60.89,1
"B43356",2014-02-11,"C13657","PR7124","Office Supplies",14.94,3
"B43356",2014-02-11,"C13657","PR6947","Office Supplies",9.64,2
"B43356",2014-02-11,"C13657","PR6331","Furniture",332.94,3
"B43356",2014-02-11,"C13657","PR6944","Office Supplies",51.9,3
"B43356",2014-02-11,"C13657","PR7488","Office Supplies",64.96,2
"B42912",2014-02-11,"C13378","PR7607","Technology",234.45,3
"B42912",2014-02-11,"C13378","PR6469","Furniture",1256.22,6
"B42912",2014-02-11,"C13378","PR6879","Office Supplies",17.46,2
"B36766",2014-02-12,"C13237","PR6163","Furniture",129.568,2
"B41775",2014-02-12,"C13852","PR6163","Furniture",129.568,2
"B46784",2014-02-12,"C14418","PR6163","Furniture",129.568,2
"B32812",2014-02-14,"C12836","PR7588","Technology",239.97,3
"B32812",2014-02-14,"C12836","PR6514","Office Supplies",81.96,2
"B32812",2014-02-14,"C12836","PR7533","Office Supplies",238.62,2
"B32653",2014-02-14,"C13487","PR7159","Office Supplies",16.176,3
"B37821",2014-02-14,"C13056","PR7588","Technology",239.97,3
"B37821",2014-02-14,"C13056","PR6514","Office Supplies",81.96,2
"B37821",2014-02-14,"C13056","PR7533","Office Supplies",238.62,2
"B37662",2014-02-14,"C13329","PR7159","Office Supplies",16.176,3
"B42830",2014-02-14,"C13451","PR7588","Technology",239.97,3
"B42830",2014-02-14,"C13451","PR6514","Office Supplies",81.96,2
"B42830",2014-02-14,"C13451","PR7533","Office Supplies",238.62,2
"B42671",2014-02-14,"C13001","PR7159","Office Supplies",16.176,3
"B33306",2014-02-15,"C12563","PR6785","Office Supplies",21.36,5
"B38315",2014-02-15,"C12551","PR6785","Office Supplies",21.36,5
"B43324",2014-02-15,"C14527","PR6785","Office Supplies",21.36,5
"B32817",2014-02-16,"C14035","PR6832","Office Supplies",1.08,3
"B32817",2014-02-16,"C14035","PR6515","Office Supplies",7.96,2
"B37826",2014-02-16,"C14811","PR6832","Office Supplies",1.08,3
"B37826",2014-02-16,"C14811","PR6515","Office Supplies",7.96,2
"B42835",2014-02-16,"C14360","PR6832","Office Supplies",1.08,3
"B42835",2014-02-16,"C14360","PR6515","Office Supplies",7.96,2
"B33189",2014-02-17,"C14224","PR6701","Office Supplies",54.208,14
"B38198",2014-02-17,"C14827","PR6701","Office Supplies",54.208,14
"B43207",2014-02-17,"C12776","PR6701","Office Supplies",54.208,14
"B33175",2014-02-18,"C14571","PR7410","Office Supplies",12.624,2
"B36898",2014-02-18,"C13929","PR6334","Furniture",25.16,5
"B38184",2014-02-18,"C12654","PR7410","Office Supplies",12.624,2
"B41907",2014-02-18,"C13430","PR6334","Furniture",25.16,5
"B43193",2014-02-18,"C14270","PR7410","Office Supplies",12.624,2
"B46916",2014-02-18,"C13848","PR6334","Furniture",25.16,5
"B32673",2014-02-20,"C14461","PR7604","Technology",62.31,3
"B32673",2014-02-20,"C14461","PR6256","Furniture",20.32,4
"B33297",2014-02-20,"C14586","PR7327","Office Supplies",12.96,2
"B37682",2014-02-20,"C14555","PR7604","Technology",62.31,3
"B37682",2014-02-20,"C14555","PR6256","Furniture",20.32,4
"B38306",2014-02-20,"C14489","PR7327","Office Supplies",12.96,2
"B42691",2014-02-20,"C13644","PR7604","Technology",62.31,3
"B42691",2014-02-20,"C13644","PR6256","Furniture",20.32,4
"B43315",2014-02-20,"C12916","PR7327","Office Supplies",12.96,2
"B33305",2014-02-21,"C12990","PR6916","Office Supplies",8.85,5
"B38314",2014-02-21,"C12701","PR6916","Office Supplies",8.85,5
"B43323",2014-02-21,"C14422","PR6916","Office Supplies",8.85,5
"B32964",2014-02-22,"C14518","PR7239","Office Supplies",19.44,3
"B37973",2014-02-22,"C13305","PR7239","Office Supplies",19.44,3
"B42982",2014-02-22,"C13467","PR7239","Office Supplies",19.44,3
"B32606",2014-02-23,"C14352","PR7117","Office Supplies",6.936,3
"B32606",2014-02-23,"C14352","PR6764","Office Supplies",4.428,3
"B37615",2014-02-23,"C14522","PR7117","Office Supplies",6.936,3
"B37615",2014-02-23,"C14522","PR6764","Office Supplies",4.428,3
"B42624",2014-02-23,"C14666","PR7117","Office Supplies",6.936,3
"B42624",2014-02-23,"C14666","PR6764","Office Supplies",4.428,3
"B36829",2014-02-24,"C13441","PR7138","Office Supplies",32.896,4
"B36829",2014-02-24,"C13441","PR7131","Office Supplies",22.776,3
"B41838",2014-02-24,"C12884","PR7138","Office Supplies",32.896,4
"B41838",2014-02-24,"C12884","PR7131","Office Supplies",22.776,3
"B46847",2014-02-24,"C13167","PR7138","Office Supplies",32.896,4
"B46847",2014-02-24,"C13167","PR7131","Office Supplies",22.776,3
"B33215",2014-02-27,"C13032","PR6698","Office Supplies",19.456,4
"B38224",2014-02-27,"C13304","PR6698","Office Supplies",19.456,4
"B43233",2014-02-27,"C14542","PR6698","Office Supplies",19.456,4
"B32613",2014-03-01,"C14511","PR6230","Furniture",457.568,2
"B33337",2014-03-01,"C14547","PR7511","Office Supplies",137.352,3
"B33337",2014-03-01,"C14547","PR6447","Furniture",376.509,3
"B36845",2014-03-01,"C14133","PR7929","Technology",5.94,3
"B32936",2014-03-01,"C14312","PR7051","Office Supplies",18.84,5
"B32936",2014-03-01,"C14312","PR6180","Furniture",362.25,6
"B32936",2014-03-01,"C14312","PR6287","Furniture",63.552,6
"B32936",2014-03-01,"C14312","PR7452","Office Supplies",129.552,3
"B32727",2014-03-01,"C12674","PR6175","Furniture",634.116,6
"B32727",2014-03-01,"C12674","PR7311","Office Supplies",17.472,3
"B37622",2014-03-01,"C14193","PR6230","Furniture",457.568,2
"B38346",2014-03-01,"C12564","PR7511","Office Supplies",137.352,3
"B38346",2014-03-01,"C12564","PR6447","Furniture",376.509,3
"B41854",2014-03-01,"C12669","PR7929","Technology",5.94,3
"B37945",2014-03-01,"C13243","PR7051","Office Supplies",18.84,5
"B37945",2014-03-01,"C13243","PR6180","Furniture",362.25,6
"B37945",2014-03-01,"C13243","PR6287","Furniture",63.552,6
"B37945",2014-03-01,"C13243","PR7452","Office Supplies",129.552,3
"B37736",2014-03-01,"C12936","PR6175","Furniture",634.116,6
"B37736",2014-03-01,"C12936","PR7311","Office Supplies",17.472,3
"B42631",2014-03-01,"C13619","PR6230","Furniture",457.568,2
"B43355",2014-03-01,"C13613","PR7511","Office Supplies",137.352,3
"B43355",2014-03-01,"C13613","PR6447","Furniture",376.509,3
"B46863",2014-03-01,"C13203","PR7929","Technology",5.94,3
"B42954",2014-03-01,"C14691","PR7051","Office Supplies",18.84,5
"B42954",2014-03-01,"C14691","PR6180","Furniture",362.25,6
"B42954",2014-03-01,"C14691","PR6287","Furniture",63.552,6
"B42954",2014-03-01,"C14691","PR7452","Office Supplies",129.552,3
"B42745",2014-03-01,"C14796","PR6175","Furniture",634.116,6
"B42745",2014-03-01,"C14796","PR7311","Office Supplies",17.472,3
"B32650",2014-03-02,"C12959","PR6977","Office Supplies",11.36,2
"B32650",2014-03-02,"C12959","PR7173","Office Supplies",36.4,5
