"BillNumber","BillDate","CustomerID","ProductID","ProductCategory","Sales","Quantity"
"B34786","2016-10-02","C21146","PR6577","Office Supplies",61.44,3
"B34416","2016-11-19","C21146","PR6525","Office Supplies",54.96,3
"B33032","2014-12-17","C21147","PR6870","Office Supplies",5.484,4
"B37268","2016-12-12","C21147","PR7605","Technology",249.95,5
"B37268","2016-12-12","C21147","PR7377","Office Supplies",49.12,4
"B37450","2017-03-23","C21147","PR7296","Office Supplies",25.68,6
"B36571","2017-07-31","C21147","PR7503","Office Supplies",56.56,2
"B36571","2017-07-31","C21147","PR6360","Furniture",36.96,7
"B36618","2017-11-07","C21147","PR6775","Office Supplies",38.16,9
"B37819","2014-05-06","C21148","PR6896","Office Supplies",140.736,8
"B37824","2014-11-24","C21148","PR6321","Furniture",111.15,5
"B38651","2015-10-31","C21148","PR7553","Office Supplies",70.12,4
"B41950","2015-11-22","C21148","PR6533","Office Supplies",68.81,5
"B41950","2015-11-22","C21148","PR6775","Office Supplies",2.544,3
"B39116","2015-12-03","C21148","PR7337","Office Supplies",184.66,7
"B41598","2017-01-23","C21148","PR7621","Technology",95.984,2
"B41598","2017-01-23","C21148","PR6937","Office Supplies",4.938,2
"B40599","2017-11-30","C21148","PR6911","Office Supplies",68.472,3
"B40599","2017-11-30","C21148","PR6233","Furniture",1242.9,5
"B33155","2014-12-16","C21149","PR7174","Office Supplies",114.2,5
"B33493","2015-07-31","C21149","PR7553","Office Supplies",52.59,3
"B34128","2015-11-10","C21149","PR7500","Office Supplies",714.3,5
"B34482","2016-07-07","C21149","PR7565","Office Supplies",45.584,7
"B34436","2016-09-10","C21149","PR7922","Technology",519.68,7
"B35058","2016-09-12","C21149","PR7343","Office Supplies",68.52,3
"B37126","2016-09-25","C21149","PR7622","Technology",499.95,5
"B37126","2016-09-25","C21149","PR6607","Office Supplies",3.04,1
"B37126","2016-09-25","C21149","PR6232","Furniture",201.96,2
"B37126","2016-09-25","C21149","PR6277","Furniture",68.64,11
"B37208","2016-12-11","C21149","PR6549","Office Supplies",73.536,4
"B36266","2017-08-10","C21149","PR7324","Office Supplies",177.2,5
"B36411","2017-10-02","C21149","PR6580","Office Supplies",15.224,2
"B36411","2017-10-02","C21149","PR6525","Office Supplies",21.984,6
"B34143","2015-07-20","C21150","PR7414","Office Supplies",34.76,1
"B34143","2015-07-20","C21150","PR7634","Technology",831.2,5
"B34143","2015-07-20","C21150","PR7166","Office Supplies",26.4,5
"B34143","2015-07-20","C21150","PR6960","Office Supplies",106.75,7
"B34143","2015-07-20","C21150","PR7316","Office Supplies",97.82,2
"B34143","2015-07-20","C21150","PR7503","Office Supplies",141.4,5
"B34137","2015-10-12","C21150","PR6438","Furniture",209.67,1
"B35632","2017-09-02","C21150","PR7268","Office Supplies",12.192,3
"B40147","2016-07-14","C21151","PR6908","Office Supplies",36.4,5
"B40147","2016-07-14","C21151","PR6422","Furniture",51.75,1
"B37651","2014-12-29","C21152","PR7482","Office Supplies",24.56,2
"B37651","2014-12-29","C21152","PR7603","Technology",119.8,4
"B38591","2015-03-22","C21152","PR7647","Technology",447.944,7
"B38591","2015-03-22","C21152","PR7471","Office Supplies",150.408,9
"B39843","2016-11-10","C21152","PR6747","Office Supplies",41.86,7
"B40447","2017-10-07","C21152","PR6149","Furniture",307.666,2
"B42446","2017-12-07","C21152","PR6253","Furniture",82.38,6
"B33025","2014-05-11","C21153","PR7596","Technology",46.864,2
"B33054","2014-06-21","C21153","PR6679","Office Supplies",21.4,5
"B34096","2015-11-30","C21153","PR7826","Technology",177.48,3
"B37073","2016-04-08","C21153","PR6122","Furniture",354.9,5
"B34262","2016-07-07","C21153","PR6357","Furniture",215.65,5
"B37398","2017-01-19","C21153","PR7136","Office Supplies",79.92,4
"B37398","2017-01-19","C21153","PR7256","Office Supplies",12.28,1
"B37398","2017-01-19","C21153","PR6504","Office Supplies",542.94,3
"B37398","2017-01-19","C21153","PR6972","Office Supplies",2.04,1
"B33578","2015-11-08","C21154","PR7033","Office Supplies",5,1
"B33578","2015-11-08","C21154","PR7629","Technology",371.97,3
"B34484","2016-10-09","C21154","PR6626","Office Supplies",1.408,1
"B34484","2016-10-09","C21154","PR6298","Furniture",169.568,2
"B36298","2017-03-26","C21154","PR6734","Office Supplies",19.83,1
"B35511","2017-11-30","C21154","PR6371","Furniture",25.83,3
"B39128","2015-03-22","C21155","PR7574","Technology",18.392,1
"B39128","2015-03-22","C21155","PR7427","Office Supplies",129.568,2
"B39128","2015-03-22","C21155","PR6760","Office Supplies",14.112,9
"B42256","2016-03-26","C21155","PR7445","Office Supplies",67.64,5
"B42256","2016-03-26","C21155","PR7605","Technology",119.976,3
